onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0863	-0.1194	20	5	13	1	1	0.858	0.5585072567456014	1.140841026576583	1.2629909127126526
4	3	0.2294	0.2471	-0.0694	22	17	-1.78	3	0	1.9180000000000001	0.5585072567456014	1.140841026576583	0.03416855995738821
8	3	0.1794	0.2471	-0.3694	10	16	-12.38	4	0	1.041	0.5585072567456014	1.140841026576583	-0.8743591072867092
12	3	0.2794	-0.4196	0.3306	38	18	12.82	2	1	1.068	0.5585072567456014	1.140841026576583	0.9472238131334914
16	3	0.0794	-0.0863	-0.1194	20	14	0.41	3	0	1.2409999999999999	0.5585072567456014	1.140841026576583	0.17376366764878703
24	3	0.0294	0.2471	-0.2694	14	13	-4.19	3	0	1.275	0.5585072567456014	1.140841026576583	-0.2064981175659235
28	3	-0.2206	0.5804	0.3806	40	8	28.81	2	1	0.745	0.5585072567456014	1.140841026576583	2.101906362503777
32	3	0.2794	-0.0863	0.1806	32	18	6.82	2	1	1.355	0.5585072567456014	1.140841026576583	0.5982485929089658
36	3	-0.2206	-0.0863	-0.0194	24	8	12.81	1	1	0.993	0.5585072567456014	1.140841026576583	1.1279186612992573
40	3	0.0794	-0.0863	0.2806	36	14	16.41	1	1	1.764	0.5585072567456014	1.140841026576583	1.209114249792203
44	3	-0.3206	0.2471	0.0806	28	6	19.61	1	1	1.226	0.5585072567456014	1.140841026576583	1.6636100167694514
48	3	0.0794	0.2471	-0.2194	16	14	-3.59	3	0	1.45	0.5585072567456014	1.140841026576583	-0.1384388566043322
56	3	-0.1706	-0.0863	-0.2694	14	9	1.41	2	1	1.8019999999999998	0.5585072567456014	1.140841026576583	0.23717003712165563
60	3	0.0294	-0.0863	-0.1194	20	13	1.81	2	1	2.1069999999999998	0.5585072567456014	1.140841026576583	0.27474777247434323
64	3	0.2794	-0.0863	0.1306	30	18	4.82	0	-1	0	0.5585072567456014	1.140841026576583	0.4756031523865345
72	3	0.1294	0.2471	-0.2694	14	15	-6.99	4	0	1.173	0.5585072567456014	1.140841026576583	-0.40532825208113854
76	3	-0.0206	-0.0863	-0.3194	12	12	-4.79	3	0	1.162	0.5585072567456014	1.140841026576583	-0.2821173160806518
84	3	-0.0706	-0.4196	-0.0194	24	11	8.61	2	1	1.3719999999999999	0.5585072567456014	1.140841026576583	0.7732307237000491
88	3	-0.1206	-0.0863	-0.3194	12	10	-1.99	3	0	1.088	0.5585072567456014	1.140841026576583	-0.06087484594536141
94	3	-0.3206	-0.4196	-0.2194	16	6	7.61	2	1	1.149	0.5585072567456014	1.140841026576583	0.8005637866353865
98	3	0.3794	-0.4196	0.3306	38	20	10.02	2	1	1.6740000000000002	0.5585072567456014	1.140841026576583	0.7735152415416189
102	3	-0.1206	-0.0863	0.0806	28	10	14.01	2	1	1.2890000000000001	0.5585072567456014	1.140841026576583	1.1513107555743014
