onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0824	0.0835	28	17	-19.16	3	0	1.745	0.5160658094052709	1.7966641697878574	-1.0851581187308237
4	3	-0.2818	-0.4157	-0.2665	14	7	-5.42	3	0	1.288	0.5160658094052709	1.7966641697878574	-0.5003860541989504
8	3	0.2682	-0.0824	0.0835	28	18	-21.93	3	0	1.2309999999999999	0.5160658094052709	1.7966641697878574	-1.2012056301352612
14	3	-0.0818	-0.0824	-0.2165	16	11	-14.51	3	0	1.247	0.5160658094052709	1.7966641697878574	-1.0053482769781872
18	3	0.3682	-0.4157	0.3835	40	20	-15.48	3	0	1.204	0.5160658094052709	1.7966641697878574	-0.8601933704289495
22	3	0.1682	-0.0824	-0.1665	18	16	-26.38	4	0	1.69	0.5160658094052709	1.7966641697878574	-1.5348582688530774
28	3	-0.0818	0.251	0.3335	38	11	7.49	2	1	1.482	0.5160658094052709	1.7966641697878574	0.17125096321126687
32	3	-0.1318	0.251	0.2835	36	10	8.26	2	1	1.459	0.5160658094052709	1.7966641697878574	0.2299530811608781
40	3	0.2682	-0.4157	0.3835	40	18	-9.93	3	0	1.492	0.5160658094052709	1.7966641697878574	-0.6371016040354984
44	3	-0.1318	-0.0824	-0.3665	10	10	-17.74	4	0	1.158	0.5160658094052709	1.7966641697878574	-1.307106874689701
50	3	-0.3318	-0.0824	-0.0165	24	6	7.36	2	1	1.492	0.5160658094052709	1.7966641697878574	0.3130854812725823
56	3	-0.2318	-0.0824	-0.1165	20	8	-2.19	3	0	1.475	0.5160658094052709	1.7966641697878574	-0.28086648781590773
62	3	-0.0318	0.251	0.3835	40	12	6.71	2	1	2.2119999999999997	0.5160658094052709	1.7966641697878574	0.11669361752019736
68	3	-0.1318	-0.4157	-0.0665	22	10	-5.74	3	0	1.205	0.5160658094052709	1.7966641697878574	-0.48322055068852743
76	3	-0.3318	-0.0824	-0.1665	18	6	1.36	2	1	2.173	0.5160658094052709	1.7966641697878574	-0.04256892414004021
80	3	0.1682	-0.0824	0.3335	38	16	-6.38	3	0	1.148	0.5160658094052709	1.7966641697878574	-0.4893065699967938
90	3	0.3682	-0.0824	0.1335	30	20	-25.48	3	0	1.2209999999999999	0.5160658094052709	1.7966641697878574	-1.3231248852671076
98	3	0.0682	-0.0824	-0.0665	22	14	-16.83	3	0	1.406	0.5160658094052709	1.7966641697878574	-1.0422161081242334
102	3	0.2682	0.251	-0.1665	18	18	-31.93	4	0	1.071	0.5160658094052709	1.7966641697878574	-1.7703066909051781
106	3	0.3182	0.5843	-0.2165	16	19	-36.7	4	0	1.245	0.5160658094052709	1.7966641697878574	-2.014321403229881
110	3	-0.1318	-0.4157	-0.0165	24	10	-3.74	3	0	1.126	0.5160658094052709	1.7966641697878574	-0.3700282835517159
116	3	0.3182	0.5843	-0.3165	12	19	-40.7	4	0	1.078	0.5160658094052709	1.7966641697878574	-2.3028265163277837
120	3	-0.1818	-0.0824	0.0835	28	9	3.04	2	1	1.653	0.5160658094052709	1.7966641697878574	-5.78878314139164e-4
126	3	-0.1318	-0.0824	0.1335	30	10	2.26	2	1	1.0390000000000001	0.5160658094052709	1.7966641697878574	-0.055409116932816804
130	3	0.1182	-0.0824	-0.1665	18	15	-23.61	4	0	1.077	0.5160658094052709	1.7966641697878574	-1.411787786841053
142	3	0.0682	-0.4157	0.1835	32	14	-6.83	3	0	1.6869999999999998	0.5160658094052709	1.7966641697878574	-0.5164470412582745
146	3	-0.0818	0.251	0.2335	34	11	3.49	2	1	1.1179999999999999	0.5160658094052709	1.7966641697878574	-0.01103268326711948
152	3	0.3182	-0.4157	0.3335	38	19	-14.7	3	0	1.246	0.5160658094052709	1.7966641697878574	-0.8377221630404268
