onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	3.74	0	-1	0	0.7400290570416128	1.1814098773172101	0.20714598928757333
4	3	-0.0227	-0.4147	-0.189	18	12	4.99	2	1	2.926	0.7400290570416128	1.1814098773172101	0.5299787555448923
8	3	0.1273	0.2519	-0.389	10	15	-6.26	3	0	2.653	0.7400290570416128	1.1814098773172101	-1.6345147360351868
18	3	0.1773	-0.0814	0.211	34	16	16.65	2	1	2.728	0.7400290570416128	1.1814098773172101	2.2000820909028223
24	3	-0.3727	-0.0814	-0.189	18	5	12.58	1	1	1.7919999999999998	0.7400290570416128	1.1814098773172101	2.301599851769737
28	3	0.0273	-0.4147	0.011	26	13	11.9	1	1	2.478	0.7400290570416128	1.1814098773172101	1.630989988734917
38	3	0.2273	-0.0814	0.161	32	17	13.57	1	1	2.32	0.7400290570416128	1.1814098773172101	1.690960329990875
42	3	-0.3727	-0.4147	-0.239	16	5	10.58	1	1	1.341	0.7400290570416128	1.1814098773172101	1.9472355686982905
46	3	-0.2727	-0.0814	-0.089	22	7	14.41	1	1	1.6780000000000002	0.7400290570416128	1.1814098773172101	2.4316888594942463
52	3	-0.2227	0.5853	0.261	36	8	27.33	1	1	1.265	0.7400290570416128	1.1814098773172101	4.33831434687144
56	3	-0.1227	-0.0814	-0.239	16	10	5.16	2	1	1.358	0.7400290570416128	1.1814098773172101	0.6445509651357604
62	3	0.0273	-0.4147	0.111	30	13	15.9	1	1	1.577	0.7400290570416128	1.1814098773172101	2.2535495493606406
74	3	0.2273	0.5853	-0.289	14	17	-4.43	3	0	2.762	0.7400290570416128	1.1814098773172101	-1.2828842431232386
78	3	0.3273	-0.0814	0.061	28	19	7.4	2	1	2.318	0.7400290570416128	1.1814098773172101	0.6670234780561914
82	3	0.3773	0.5853	-0.289	14	20	-7.68	3	0	2.4619999999999997	0.7400290570416128	1.1814098773172101	-1.8973094421651928
86	3	0.1773	-0.4147	0.011	26	16	8.65	2	1	1.945	0.7400290570416128	1.1814098773172101	0.976243238262275
90	3	-0.3727	0.5853	0.361	40	5	34.58	1	1	1.5019999999999998	0.7400290570416128	1.1814098773172101	5.721810463546184
94	3	-0.0227	-0.0814	0.061	28	12	14.99	1	1	1.7819999999999998	0.7400290570416128	1.1814098773172101	2.1718840454279578
98	3	0.1773	-0.0814	-0.139	20	16	2.65	2	1	1.8780000000000001	0.7400290570416128	1.1814098773172101	-0.0072380259230397925
102	3	-0.3727	0.2519	0.011	26	5	20.58	1	1	1.137	0.7400290570416128	1.1814098773172101	3.6293325292510046
106	3	0.3773	-0.0814	0.161	32	20	10.32	2	1	1.848	0.7400290570416128	1.1814098773172101	1.0765351309489208
110	3	0.2273	0.2519	-0.189	18	17	-0.43	3	0	2.697	0.7400290570416128	1.1814098773172101	-0.5624157243143255
116	3	-0.3227	-0.0814	-0.139	20	6	13.49	1	1	1.47	0.7400290570416128	1.1814098773172101	2.3650861880668104
120	3	0.2773	0.2519	-0.139	20	18	0.48	0	-1	0	0.7400290570416128	1.1814098773172101	-0.4258874901120784
126	3	-0.2727	0.5853	0.361	40	7	32.41	1	1	1.124	0.7400290570416128	1.1814098773172101	5.172247346253105
130	3	-0.3227	0.5853	0.261	36	6	29.49	1	1	1.857	0.7400290570416128	1.1814098773172101	4.866073413285498
134	3	0.3773	0.5853	-0.239	16	20	-5.68	3	0	1.9980000000000002	0.7400290570416128	1.1814098773172101	-1.5312052064277264
140	3	0.1273	-0.0814	0.361	40	15	23.74	1	1	1.681	0.7400290570416128	1.1814098773172101	3.2831051877680677
148	3	-0.3227	-0.4147	-0.389	10	6	3.49	2	1	1.746	0.7400290570416128	1.1814098773172101	0.5234254627440502
156	3	0.1273	0.2519	-0.339	12	15	-4.26	3	0	1.626	0.7400290570416128	1.1814098773172101	-1.2375851846019508
160	3	0.2273	-0.4147	0.211	34	17	15.57	2	1	2.191	0.7400290570416128	1.1814098773172101	1.9891558058074894
164	3	0.0773	-0.0814	-0.189	18	14	2.82	2	1	2.103	0.7400290570416128	1.1814098773172101	0.08102972100891837
170	3	0.0273	-0.0814	0.361	40	13	25.9	1	1	1.3219999999999998	0.7400290570416128	1.1814098773172101	3.7234679230300967
174	3	0.3273	-0.0814	0.161	32	19	11.4	2	1	2.1430000000000002	0.7400290570416128	1.1814098773172101	1.2784942424783265
178	3	-0.0227	-0.0814	-0.289	14	12	0.99	3	0	2.287	0.7400290570416128	1.1814098773172101	-0.19048976326402078
182	3	-0.1227	-0.0814	0.161	32	10	21.16	2	1	2.362	0.7400290570416128	1.1814098773172101	3.2522913025124076
192	3	0.2273	-0.4147	0.261	36	17	17.57	1	1	2.41	0.7400290570416128	1.1814098773172101	2.282822914200315
202	3	0.0273	-0.4147	0.061	28	13	13.9	2	1	1.5859999999999999	0.7400290570416128	1.1814098773172101	1.945162601136715
208	3	0.0273	-0.0814	0.211	34	13	19.9	1	1	2.082	0.7400290570416128	1.1814098773172101	2.8548288413754643
212	3	0.0773	-0.0814	0.311	38	14	22.82	1	1	1.8630000000000002	0.7400290570416128	1.1814098773172101	3.2157221322880094
220	3	-0.0727	-0.0814	0.161	32	11	20.07	1	1	2.603	0.7400290570416128	1.1814098773172101	3.015048178859913
224	3	-0.1727	-0.0814	0.161	32	9	22.24	1	1	1.456	0.7400290570416128	1.1814098773172101	3.4957949021109096
234	3	0.1773	-0.4147	0.111	30	16	12.65	2	1	1.4669999999999999	0.7400290570416128	1.1814098773172101	1.5988027988879985
238	3	-0.1227	0.2519	0.211	34	10	23.16	1	1	1.6	0.7400290570416128	1.1814098773172101	3.550486778329022
246	3	-0.2227	-0.0814	-0.189	18	8	9.33	2	1	2.2030000000000003	0.7400290570416128	1.1814098773172101	1.4930757083567991
250	3	0.3773	-0.4147	0.211	34	20	12.32	2	1	1.784	0.7400290570416128	1.1814098773172101	1.3747306067655352
256	3	0.1773	-0.4147	0.161	32	16	14.65	1	1	1.7919999999999998	0.7400290570416128	1.1814098773172101	1.901886615086208
260	3	-0.0227	-0.4147	-0.039	24	12	10.99	1	1	2.289	0.7400290570416128	1.1814098773172101	1.5371856676968152
266	3	-0.0227	0.2519	0.311	38	12	24.99	1	1	1.44	0.7400290570416128	1.1814098773172101	3.6646711668239833
272	3	-0.1227	0.2519	0.311	38	10	27.16	1	1	1.276	0.7400290570416128	1.1814098773172101	4.133607659486298
280	3	-0.2727	-0.0814	-0.039	24	7	16.41	1	1	1.411	0.7400290570416128	1.1814098773172101	2.75924364662858
284	3	0.0273	0.2519	-0.239	16	13	1.9	3	0	2.472	0.7400290570416128	1.1814098773172101	-0.05110697181779722
296	3	0.3273	-0.4147	0.261	36	19	15.4	2	1	1.7790000000000001	0.7400290570416128	1.1814098773172101	1.8703568266877664
310	3	-0.3727	0.2519	0.161	32	5	26.58	1	1	1.2109999999999999	0.7400290570416128	1.1814098773172101	4.5549759060749375
316	3	-0.1727	0.2519	0.211	34	9	24.24	1	1	1.46	0.7400290570416128	1.1814098773172101	3.793990377927524
320	3	-0.2727	0.2519	0.061	28	7	20.41	1	1	1.36	0.7400290570416128	1.1814098773172101	3.3939420243597227
324	3	0.0273	-0.0814	-0.039	24	13	9.9	2	1	1.4040000000000001	0.7400290570416128	1.1814098773172101	1.3104642234055723
330	3	-0.3727	0.5853	0.311	38	5	32.58	1	1	1.067	0.7400290570416128	1.1814098773172101	5.436292263048828
336	3	-0.1727	-0.4147	-0.089	22	9	12.24	1	1	1.94	0.7400290570416128	1.1814098773172101	1.922070972823298
342	3	-0.0727	-0.0814	-0.389	10	11	-1.93	3	0	1.8430000000000002	0.7400290570416128	1.1814098773172101	-0.735737187472095
346	3	0.0773	0.2519	-0.339	12	14	-3.18	3	0	2.057	0.7400290570416128	1.1814098773172101	-1.0194500395846529
350	3	0.3273	-0.4147	0.211	34	19	13.4	2	1	1.629	0.7400290570416128	1.1814098773172101	1.5766897182949409
360	3	-0.2727	0.5853	0.311	38	7	30.41	1	1	1.1159999999999999	0.7400290570416128	1.1814098773172101	4.886729145755748
364	3	-0.3227	0.2519	0.111	30	6	23.49	1	1	1.2890000000000001	0.7400290570416128	1.1814098773172101	3.9711270128778486
368	3	0.2773	-0.0814	0.011	26	18	6.48	2	1	1.785	0.7400290570416128	1.1814098773172101	0.5575937740732364
374	3	-0.3227	-0.4147	-0.289	14	6	7.49	1	1	2.485	0.7400290570416128	1.1814098773172101	1.3003662559619444
378	3	-0.0227	-0.0814	-0.239	16	12	2.99	2	1	1.6980000000000002	0.7400290570416128	1.1814098773172101	0.17561447247344564
382	3	0.3773	0.2519	-0.089	22	20	0.32	3	0	1.777	0.7400290570416128	1.1814098773172101	-0.4971887983386907
386	3	0.2273	0.5853	-0.339	12	17	-6.43	4	0	2.54	0.7400290570416128	1.1814098773172101	-1.6628954849078967
398	3	-0.2727	-0.4147	-0.389	10	7	2.41	3	0	1.9580000000000002	0.7400290570416128	1.1814098773172101	0.2546274224498499
402	3	0.3773	0.2519	-0.189	18	20	-3.68	3	0	2.569	0.7400290570416128	1.1814098773172101	-1.1768409233562798
408	3	-0.3227	-0.4147	-0.339	12	6	5.49	1	1	2.7230000000000003	0.7400290570416128	1.1814098773172101	0.9203550141772863
412	3	-0.3227	0.2519	0.161	32	6	25.49	1	1	1.218	0.7400290570416128	1.1814098773172101	4.274210829076058
416	3	-0.2727	-0.0814	-0.189	18	7	10.41	1	1	1.33	0.7400290570416128	1.1814098773172101	1.7520367344766572
420	3	-0.1227	0.2519	0.361	40	10	29.16	1	1	1.265	0.7400290570416128	1.1814098773172101	4.419125859983654
424	3	0.0773	0.2519	-0.289	14	14	-1.18	3	0	1.973	0.7400290570416128	1.1814098773172101	-0.6394387977999947
428	3	0.3273	-0.0814	0.111	30	19	9.4	2	1	1.857	0.7400290570416128	1.1814098773172101	0.9754104262801171
436	3	0.2773	0.2519	-0.039	24	18	4.48	0	-1	0	0.7400290570416128	1.1814098773172101	0.23706800874389167
440	3	-0.0227	-0.0814	-0.389	10	12	-3.01	3	0	1.61	0.7400290570416128	1.1814098773172101	-0.967430556481915
444	3	0.3273	-0.4147	0.361	40	19	19.4	2	1	1.6840000000000002	0.7400290570416128	1.1814098773172101	2.445328799949573
448	3	-0.1727	-0.4147	-0.039	24	9	14.24	1	1	2.0340000000000003	0.7400290570416128	1.1814098773172101	2.249625759957632
458	3	0.2773	0.5853	-0.239	16	18	-3.52	3	0	1.8880000000000001	0.7400290570416128	1.1814098773172101	-1.124503186479478
462	3	-0.0227	0.2519	0.261	36	12	22.99	1	1	1.45	0.7400290570416128	1.1814098773172101	3.3752173940595327
466	3	-0.1727	-0.0814	0.011	26	9	16.24	1	1	1.4340000000000002	0.7400290570416128	1.1814098773172101	2.5701515252869767
470	3	-0.0227	-0.4147	-0.139	20	12	6.99	2	1	1.7009999999999998	0.7400290570416128	1.1814098773172101	0.8742301688408451
474	3	0.0773	-0.0814	-0.039	24	14	8.82	2	1	2.218	0.7400290570416128	1.1814098773172101	1.0882366331608413
