onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.078	0.0835	28	17	-86.81	4	0	1.204	0.5220089830242447	1.8591456700853874	-1.2322509026568662
4	3	-0.2818	-0.4113	-0.2665	14	7	-33.27	3	0	1.071	0.5220089830242447	1.8591456700853874	-0.5843276618820259
8	3	0.2682	-0.078	0.0835	28	18	-93.56	3	0	1.6269999999999998	0.5220089830242447	1.8591456700853874	-1.3558007279411832
14	3	-0.0818	-0.078	-0.2165	16	11	-58.29	4	0	0.78	0.5220089830242447	1.8591456700853874	-1.1242784304098663
18	3	0.3682	-0.4113	0.3835	40	20	-95.07	4	0	0.9420000000000001	0.5220089830242447	1.8591456700853874	-1.0107808904087858
22	3	0.1682	-0.078	-0.1665	18	16	-90.05	3	0	0.743	0.5220089830242447	1.8591456700853874	-1.691603178842517
28	3	-0.0818	0.2554	0.3335	38	11	-36.29	3	0	0.965	0.5220089830242447	1.8591456700853874	0.08899117126437206
32	3	-0.1318	0.2554	0.2835	36	10	-31.53	3	0	1.287	0.5220089830242447	1.8591456700853874	0.1538128565696124
40	3	0.2682	-0.4113	0.3835	40	18	-81.56	3	0	1.023	0.5220089830242447	1.8591456700853874	-0.7731513333818181
44	3	-0.1318	-0.078	-0.3665	10	10	-57.53	4	0	1.399	0.5220089830242447	1.8591456700853874	-1.4290446324328612
50	3	-0.3318	-0.078	-0.0165	24	6	-16.52	2	1	0.8	0.5220089830242447	1.8591456700853874	0.25838990480867485
56	3	-0.2318	-0.078	-0.1165	20	8	-34.03	2	1	1.198	0.5220089830242447	1.8591456700853874	-0.3638878136847441
62	3	-0.0318	0.2554	0.3835	40	12	-41.04	3	0	0.872	0.5220089830242447	1.8591456700853874	0.028578703135246908
68	3	-0.1318	-0.4113	-0.0665	22	10	-45.53	3	0	1.008	0.5220089830242447	1.8591456700853874	-0.5820705799416475
76	3	-0.3318	-0.078	-0.1665	18	6	-22.52	3	0	0.816	0.5220089830242447	1.8591456700853874	-0.10791428569428207
80	3	0.1682	-0.078	0.3335	38	16	-70.05	3	0	1.056	0.5220089830242447	1.8591456700853874	-0.6131403195032634
90	3	0.3682	-0.078	0.1335	30	20	-105.07	3	0	1.105	0.5220089830242447	1.8591456700853874	-1.4890242264471598
98	3	0.0682	-0.078	-0.0665	22	14	-72.55	4	0	1.215	0.5220089830242447	1.8591456700853874	-1.1758399590813782
102	3	0.2682	0.2554	-0.1665	18	18	-103.56	3	0	1.14	0.5220089830242447	1.8591456700853874	-1.9422285501529202
106	3	0.3182	0.5887	-0.2165	16	19	-112.31	4	0	1.305	0.5220089830242447	1.8591456700853874	-2.1973453848245366
110	3	-0.1318	-0.4113	-0.0165	24	10	-43.53	3	0	1.056	0.5220089830242447	1.8591456700853874	-0.4654215755389979
116	3	0.3182	0.5887	-0.3165	12	19	-116.31	4	0	1.2329999999999999	0.5220089830242447	1.8591456700853874	-2.4937743705001725
120	3	-0.1818	-0.078	0.0835	28	9	-32.78	2	1	0.973	0.5220089830242447	1.8591456700853874	-0.07981238665210544
126	3	-0.1318	-0.078	0.1335	30	10	-37.53	3	0	1.425	0.5220089830242447	1.8591456700853874	-0.1408918853092267
130	3	0.1182	-0.078	-0.1665	18	15	-83.3	4	0	1.151	0.5220089830242447	1.8591456700853874	-1.5606708860163874
142	3	0.0682	-0.4113	0.1835	32	14	-62.55	3	0	0.9279999999999999	0.5220089830242447	1.8591456700853874	-0.6335327295307813
146	3	-0.0818	0.2554	0.2335	34	11	-40.29	3	0	0.85	0.5220089830242447	1.8591456700853874	-0.09935958363321662
152	3	0.3182	-0.4113	0.3335	38	19	-90.31	4	0	1.104	0.5220089830242447	1.8591456700853874	-0.9840757831502982
156	3	-0.1318	-0.078	-0.2665	14	10	-53.53	4	0	1.01	0.5220089830242447	1.8591456700853874	-1.1096670878467718
