onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0827	-0.1194	20	5	14.44	1	1	0.991	0.8186399291091204	1.0279775529734811	3.888878792478123
4	3	0.2294	0.2506	-0.0694	22	17	3.08	2	1	1.4040000000000001	0.8186399291091204	1.0279775529734811	1.0526342181536226
8	3	0.1794	0.2506	-0.3694	10	16	-7.81	4	0	1.94	0.8186399291091204	1.0279775529734811	-1.6807308647914088
12	3	0.2794	-0.416	0.3306	38	18	17.97	1	1	1.716	0.8186399291091204	1.0279775529734811	4.345653648740505
16	3	0.0794	-0.0827	-0.1194	20	14	4.42	2	1	1.7369999999999999	0.8186399291091204	1.0279775529734811	1.3494287572660744
24	3	0.0294	0.2506	-0.2694	14	13	-0.47	2	1	1.847	0.8186399291091204	1.0279775529734811	0.14111270351789962
28	3	-0.2206	0.584	0.3806	40	8	31.1	1	1	1.053	0.8186399291091204	1.0279775529734811	7.424187419727401
32	3	0.2794	-0.0827	0.1806	32	18	11.97	1	1	1.722	0.8186399291091204	1.0279775529734811	3.0565254706119944
36	3	-0.2206	-0.0827	-0.0194	24	8	15.1	1	1	1.1420000000000001	0.8186399291091204	1.0279775529734811	3.9231346858850205
40	3	0.0794	-0.0827	0.2806	36	14	20.42	1	1	1.013	0.8186399291091204	1.0279775529734811	4.9388769325859005
44	3	-0.3206	0.2506	0.0806	28	6	21.32	1	1	0.826	0.8186399291091204	1.0279775529734811	5.421845653594424
48	3	0.0794	0.2506	-0.2194	16	14	0.42	2	1	1.462	0.8186399291091204	1.0279775529734811	0.3796808549014301
56	3	-0.1706	-0.0827	-0.2694	14	9	3.98	2	1	1.361	0.8186399291091204	1.0279775529734811	1.2319446177123643
60	3	0.0294	-0.0827	-0.1194	20	13	5.53	1	1	1.8619999999999999	0.8186399291091204	1.0279775529734811	1.6118931720298573
64	3	0.2794	-0.0827	0.1306	30	18	9.97	1	1	1.743	0.8186399291091204	1.0279775529734811	2.617352499193908
72	3	0.1294	0.2506	-0.2694	14	15	-2.69	3	0	1.993	0.8186399291091204	1.0279775529734811	-0.3804348938424704
76	3	-0.0206	-0.0827	-0.3194	12	12	-1.36	3	0	1.3019999999999998	0.8186399291091204	1.0279775529734811	-0.10696472767352283
84	3	-0.0706	-0.416	-0.0194	24	11	11.76	1	1	1.7369999999999999	0.8186399291091204	1.0279775529734811	3.0832152480935906
88	3	-0.1206	-0.0827	-0.3194	12	10	0.87	2	1	2.31	0.8186399291091204	1.0279775529734811	0.43796188672748526
94	3	-0.3206	-0.416	-0.2194	16	6	9.32	1	1	1.1520000000000001	0.8186399291091204	1.0279775529734811	2.6101704712605764
98	3	0.3794	-0.416	0.3306	38	20	15.74	1	1	1.47	0.8186399291091204	1.0279775529734811	3.8522473275885947
102	3	-0.1206	-0.0827	0.0806	28	10	16.87	1	1	1.43	0.8186399291091204	1.0279775529734811	4.264902727216299
106	3	-0.2706	-0.0827	-0.1194	20	7	12.21	1	1	0.737	0.8186399291091204	1.0279775529734811	3.2802033741205974
110	3	-0.1706	0.2506	0.3306	38	9	27.98	1	1	1.202	0.8186399291091204	1.0279775529734811	6.717472963528955
120	3	-0.0206	-0.0827	0.0306	26	12	12.64	1	1	1.5930000000000002	0.8186399291091204	1.0279775529734811	3.2696553488594047
132	3	0.0794	0.2506	-0.3694	10	14	-5.58	3	0	1.137	0.8186399291091204	1.0279775529734811	-1.1656806334832694
136	3	0.0294	0.2506	-0.3194	12	13	-2.47	3	0	1.463	0.8186399291091204	1.0279775529734811	-0.3731203884897525
146	3	0.1294	-0.0827	-0.0194	24	15	7.31	2	1	1.73	0.8186399291091204	1.0279775529734811	2.0252981072549296
150	3	0.1294	-0.416	0.1806	32	15	15.31	1	1	1.287	0.8186399291091204	1.0279775529734811	3.8159652738456096
154	3	0.1294	-0.0827	0.2806	36	15	19.31	1	1	1.215	0.8186399291091204	1.0279775529734811	4.679793749989313
162	3	0.2794	-0.416	0.2806	36	18	15.97	1	1	1.0659999999999998	0.8186399291091204	1.0279775529734811	3.9203539467556983
166	3	0.2794	0.584	-0.3194	12	18	-8.03	4	0	1.7990000000000002	0.8186399291091204	1.0279775529734811	-1.6541077890837377
176	3	-0.1706	-0.416	-0.1194	20	9	9.98	1	1	0.963	0.8186399291091204	1.0279775529734811	2.702725086224322
180	3	-0.2206	-0.416	-0.2194	16	8	7.1	1	1	1.431	0.8186399291091204	1.0279775529734811	2.018434250934934
184	3	0.3794	0.584	-0.3194	12	20	-10.26	4	0	1.883	0.8186399291091204	1.0279775529734811	-2.1475141102356483
