onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0827	-0.1194	20	5	15.05	1	1	1.29	0.7612194498174479	1.0355192934792707	3.1275646694539976
4	3	0.2294	0.2506	-0.0694	22	17	5.17	2	1	1.163	0.7612194498174479	1.0355192934792707	0.7835740357922854
8	3	0.1794	0.2506	-0.3694	10	16	-5.84	4	0	1.265	0.7612194498174479	1.0355192934792707	-1.387659509270847
12	3	0.2794	-0.416	0.3306	38	18	20.18	2	1	1.4880000000000002	0.7612194498174479	1.0355192934792707	3.2975962193038173
16	3	0.0794	-0.0827	-0.1194	20	14	6.14	2	1	1.446	0.7612194498174479	1.0355192934792707	1.030380144876231
24	3	0.0294	0.2506	-0.2694	14	13	1.13	3	0	0.998	0.7612194498174479	1.0355192934792707	0.07932148563912333
28	3	-0.2206	0.584	0.3806	40	8	32.08	1	1	0.7809999999999999	0.7612194498174479	1.0355192934792707	5.767724478482341
32	3	0.2794	-0.0827	0.1806	32	18	14.18	2	1	1.189	0.7612194498174479	1.0355192934792707	2.3201442917217863
36	3	-0.2206	-0.0827	-0.0194	24	8	16.08	1	1	1.189	0.7612194498174479	1.0355192934792707	3.0973836992613766
40	3	0.0794	-0.0827	0.2806	36	14	22.14	2	1	1.102	0.7612194498174479	1.0355192934792707	3.789971779287302
44	3	-0.3206	0.2506	0.0806	28	6	22.06	1	1	0.863	0.7612194498174479	1.0355192934792707	4.292711168965921
48	3	0.0794	0.2506	-0.2194	16	14	2.14	2	1	1.9809999999999999	0.7612194498174479	1.0355192934792707	0.26642009347120066
56	3	-0.1706	-0.0827	-0.2694	14	9	5.09	2	1	1.031	0.7612194498174479	1.0355192934792707	0.9700586586138655
60	3	0.0294	-0.0827	-0.1194	20	13	7.13	2	1	1.229	0.7612194498174479	1.0355192934792707	1.2421020239509364
64	3	0.2794	-0.0827	0.1306	30	18	12.18	2	1	2.101	0.7612194498174479	1.0355192934792707	1.984851669132273
72	3	0.1294	0.2506	-0.2694	14	15	-0.85	4	0	1.536	0.7612194498174479	1.0355192934792707	-0.3405384301415837
76	3	-0.0206	-0.0827	-0.3194	12	12	0.12	3	0	1.7269999999999999	0.7612194498174479	1.0355192934792707	-0.11774109684494327
84	3	-0.0706	-0.416	-0.0194	24	11	13.11	2	1	1.255	0.7612194498174479	1.0355192934792707	2.405813477728467
88	3	-0.1206	-0.0827	-0.3194	12	10	2.1	2	1	1.702	0.7612194498174479	1.0355192934792707	0.32707571736226804
94	3	-0.3206	-0.416	-0.2194	16	6	10.06	2	1	1.161	0.7612194498174479	1.0355192934792707	2.1011638454135215
98	3	0.3794	-0.416	0.3306	38	20	18.2	2	1	1.463	0.7612194498174479	1.0355192934792707	2.907307546305895
102	3	-0.1206	-0.0827	0.0806	28	10	18.1	2	1	1.744	0.7612194498174479	1.0355192934792707	3.330157159053839
106	3	-0.2706	-0.0827	-0.1194	20	7	13.07	1	1	1.439	0.7612194498174479	1.0355192934792707	2.6129749721398645
110	3	-0.1706	0.2506	0.3306	38	9	29.09	1	1	0.8059999999999999	0.7612194498174479	1.0355192934792707	5.213848279859437
