onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	-14.61	4	0	1.733	0.5009316911652847	1.6442160762960423	-0.9497365755947662
4	3	-0.0227	-0.4147	-0.189	18	12	-9.69	4	0	1.126	0.5009316911652847	1.6442160762960423	-0.7274260841599816
8	3	0.1273	0.2519	-0.389	10	15	-24.61	4	0	1.0659999999999998	0.5009316911652847	1.6442160762960423	-1.6075198688210086
18	3	0.1773	-0.0814	0.211	34	16	-2.91	3	0	1.76	0.5009316911652847	1.6442160762960423	-0.3718673650174682
24	3	-0.3727	-0.0814	-0.189	18	5	6.46	1	1	2.504	0.5009316911652847	1.6442160762960423	0.2859925783477222
28	3	0.0273	-0.4147	0.011	26	13	-3.99	4	0	2.032	0.5009316911652847	1.6442160762960423	-0.4139840592162649
38	3	0.2273	-0.0814	0.161	32	17	-7.22	4	0	1.689	0.5009316911652847	1.6442160762960423	-0.5610227922067579
42	3	-0.3727	-0.4147	-0.239	16	5	4.46	1	1	1.375	0.5009316911652847	1.6442160762960423	0.16412503225344133
46	3	-0.2727	-0.0814	-0.089	22	7	5.85	2	1	2.032	0.5009316911652847	1.6442160762960423	0.17293115826967886
52	3	-0.2227	0.5853	0.261	36	8	17.54	1	1	1.871	0.5009316911652847	1.6442160762960423	0.6802509197508879
56	3	-0.1227	-0.0814	-0.239	16	10	-7.07	4	0	1.656	0.5009316911652847	1.6442160762960423	-0.6001440028459402
62	3	0.0273	-0.4147	0.111	30	13	0.01	3	0	2.545	0.5009316911652847	1.6442160762960423	-0.2239398644135262
74	3	0.2273	0.5853	-0.289	14	17	-25.22	4	0	1.089	0.5009316911652847	1.6442160762960423	-1.523163335189626
78	3	0.3273	-0.0814	0.061	28	19	-15.84	4	0	1.4	0.5009316911652847	1.6442160762960423	-0.9393519242278501
82	3	0.3773	0.5853	-0.289	14	20	-32.14	4	0	1.297	0.5009316911652847	1.6442160762960423	-1.8114206184357977
86	3	0.1773	-0.4147	0.011	26	16	-10.91	4	0	1.25	0.5009316911652847	1.6442160762960423	-0.7396771467395453
90	3	-0.3727	0.5853	0.361	40	5	28.46	1	1	1.3130000000000002	0.5009316911652847	1.6442160762960423	1.332116739863914
94	3	-0.0227	-0.0814	0.061	28	12	0.31	3	0	1.545	0.5009316911652847	1.6442160762960423	-0.2004886658352656
98	3	0.1773	-0.0814	-0.139	20	16	-16.91	4	0	1.4	0.5009316911652847	1.6442160762960423	-1.054620021274237
102	3	-0.3727	0.2519	0.011	26	5	14.46	1	1	2.131	0.5009316911652847	1.6442160762960423	0.7162126139225131
106	3	0.3773	-0.0814	0.161	32	20	-14.14	4	0	1.609	0.5009316911652847	1.6442160762960423	-0.8492800754529295
110	3	0.2273	0.2519	-0.189	18	17	-21.22	4	0	1.034	0.5009316911652847	1.6442160762960423	-1.2715570389470292
116	3	-0.3227	-0.0814	-0.139	20	6	6.16	1	1	1.8019999999999998	0.5009316911652847	1.6442160762960423	0.22520808549742322
120	3	0.2773	0.2519	-0.139	20	18	-21.53	4	0	1.001	0.5009316911652847	1.6442160762960423	-1.2549965997412023
126	3	-0.2727	0.5853	0.361	40	7	23.85	1	1	1.1540000000000001	0.5009316911652847	1.6442160762960423	0.9941243657543537
130	3	-0.3227	0.5853	0.261	36	6	22.16	2	1	1.2990000000000002	0.5009316911652847	1.6442160762960423	0.9929232450122276
134	3	0.3773	0.5853	-0.239	16	20	-30.14	4	0	1.161	0.5009316911652847	1.6442160762960423	-1.6816818682874817
140	3	0.1273	-0.0814	0.361	40	15	5.39	2	1	1.6669999999999998	0.5009316911652847	1.6442160762960423	-0.01888957511867373
148	3	-0.3227	-0.4147	-0.389	10	6	-3.84	4	0	1.1320000000000001	0.5009316911652847	1.6442160762960423	-0.4325752077288192
156	3	0.1273	0.2519	-0.339	12	15	-22.61	4	0	0.9229999999999999	0.5009316911652847	1.6442160762960423	-1.4559889167763198
160	3	0.2273	-0.4147	0.211	34	17	-5.22	4	0	0.802	0.5009316911652847	1.6442160762960423	-0.47352722165016115
164	3	0.0773	-0.0814	-0.189	18	14	-14.3	4	0	1.113	0.5009316911652847	1.6442160762960423	-0.9565786436019192
170	3	0.0273	-0.0814	0.361	40	13	10.01	1	1	1.276	0.5009316911652847	1.6442160762960423	0.20192006672513596
174	3	0.3273	-0.0814	0.161	32	19	-11.84	4	0	1.419	0.5009316911652847	1.6442160762960423	-0.7557550958122947
178	3	-0.0227	-0.0814	-0.289	14	12	-13.69	4	0	1.37	0.5009316911652847	1.6442160762960423	-0.9790323804025785
182	3	-0.1227	-0.0814	0.161	32	10	8.93	2	1	1.525	0.5009316911652847	1.6442160762960423	0.23225778998861202
192	3	0.2273	-0.4147	0.261	36	17	-3.22	4	0	1.3969999999999998	0.5009316911652847	1.6442160762960423	-0.3885647183921255
202	3	0.0273	-0.4147	0.061	28	13	-1.99	4	0	1.2429999999999999	0.5009316911652847	1.6442160762960423	-0.3172666764663399
208	3	0.0273	-0.0814	0.211	34	13	4.01	4	0	0.797	0.5009316911652847	1.6442160762960423	-0.04617427749418779
212	3	0.0773	-0.0814	0.311	38	14	5.7	4	0	1.844	0.5009316911652847	1.6442160762960423	0.009051390477938348
220	3	-0.0727	-0.0814	0.161	32	11	6.62	3	0	1.15	0.5009316911652847	1.6442160762960423	0.10485261045980598
224	3	-0.1727	-0.0814	0.161	32	9	11.24	1	1	1.172	0.5009316911652847	1.6442160762960423	0.3661966807211403
234	3	0.1773	-0.4147	0.111	30	16	-6.91	4	0	1.47	0.5009316911652847	1.6442160762960423	-0.5496329519368066
238	3	-0.1227	0.2519	0.211	34	10	10.93	2	1	1.636	0.5009316911652847	1.6442160762960423	0.31975336054520875
246	3	-0.2227	-0.0814	-0.189	18	8	-0.46	2	1	1.7180000000000002	0.5009316911652847	1.6442160762960423	-0.20274140080401581
250	3	0.3773	-0.4147	0.211	34	20	-12.14	4	0	1.085	0.5009316911652847	1.6442160762960423	-0.7617845048963328
256	3	0.1773	-0.4147	0.161	32	16	-4.91	4	0	1.876	0.5009316911652847	1.6442160762960423	-0.45936293557406493
260	3	-0.0227	-0.4147	-0.039	24	12	-3.69	4	0	1.166	0.5009316911652847	1.6442160762960423	-0.39771335802934304
266	3	-0.0227	0.2519	0.311	38	12	10.31	4	0	1.317	0.5009316911652847	1.6442160762960423	0.23820394991987603
272	3	-0.1227	0.2519	0.311	38	10	14.93	1	1	1.094	0.5009316911652847	1.6442160762960423	0.4873535773281983
280	3	-0.2727	-0.0814	-0.039	24	7	7.85	3	0	1.255	0.5009316911652847	1.6442160762960423	0.2777129303688004
284	3	0.0273	0.2519	-0.239	16	13	-13.99	4	0	1.166	0.5009316911652847	1.6442160762960423	-0.9660716408853367
296	3	0.3273	-0.4147	0.261	36	19	-7.84	4	0	0.9990000000000001	0.5009316911652847	1.6442160762960423	-0.5832970219976623
310	3	-0.3727	0.2519	0.161	32	5	20.46	1	1	1.032	0.5009316911652847	1.6442160762960423	0.9965268250879935
316	3	-0.1727	0.2519	0.211	34	9	13.24	1	1	1.216	0.5009316911652847	1.6442160762960423	0.45369225127773705
320	3	-0.2727	0.2519	0.061	28	7	11.85	1	1	0.943	0.5009316911652847	1.6442160762960423	0.47493762256287786
324	3	0.0273	-0.0814	-0.039	24	13	-5.99	4	0	1.137	0.5009316911652847	1.6442160762960423	-0.5144913686604173
330	3	-0.3727	0.5853	0.311	38	5	26.46	1	1	0.919	0.5009316911652847	1.6442160762960423	1.2516226124275798
336	3	-0.1727	-0.4147	-0.089	22	9	1.24	4	0	1.185	0.5009316911652847	1.6442160762960423	-0.11940661198761404
342	3	-0.0727	-0.0814	-0.389	10	11	-15.38	4	0	1.016	0.5009316911652847	1.6442160762960423	-1.1481877684666084
346	3	0.0773	0.2519	-0.339	12	14	-20.3	4	0	0.847	0.5009316911652847	1.6442160762960423	-1.3475538237433735
350	3	0.3273	-0.4147	0.211	34	19	-9.84	4	0	1.063	0.5009316911652847	1.6442160762960423	-0.668259525255698
360	3	-0.2727	0.5853	0.311	38	7	21.85	2	1	1.297	0.5009316911652847	1.6442160762960423	0.9136302383180195
364	3	-0.3227	0.2519	0.111	30	6	16.16	1	1	1.048	0.5009316911652847	1.6442160762960423	0.7301951548348535
368	3	0.2773	-0.0814	0.011	26	18	-15.53	4	0	1.208	0.5009316911652847	1.6442160762960423	-0.9400537252065106
374	3	-0.3227	-0.4147	-0.289	14	6	0.16	4	0	1.8730000000000002	0.5009316911652847	1.6442160762960423	-0.141675371785273
378	3	-0.0227	-0.0814	-0.239	16	12	-11.69	4	0	1.936	0.5009316911652847	1.6442160762960423	-0.8492936302542624
382	3	0.3773	0.2519	-0.089	22	20	-24.14	4	0	1.1440000000000001	0.5009316911652847	1.6442160762960423	-1.3348833681616838
386	3	0.2273	0.5853	-0.339	12	17	-27.22	4	0	1.026	0.5009316911652847	1.6442160762960423	-1.6625322190884835
398	3	-0.2727	-0.4147	-0.389	10	7	-6.15	4	0	1.531	0.5009316911652847	1.6442160762960423	-0.5945059279479812
402	3	0.3773	0.2519	-0.189	18	20	-28.14	4	0	1.399	0.5009316911652847	1.6442160762960423	-1.5598143221932008
408	3	-0.3227	-0.4147	-0.339	12	6	-1.84	2	1	1.962	0.5009316911652847	1.6442160762960423	-0.2810442556841304
412	3	-0.3227	0.2519	0.161	32	6	18.16	1	1	1.28	0.5009316911652847	1.6442160762960423	0.8204651711975952
416	3	-0.2727	-0.0814	-0.189	18	7	1.85	4	0	1.213	0.5009316911652847	1.6442160762960423	-0.05199979576183811
420	3	-0.1227	0.2519	0.361	40	10	16.93	1	1	1.139	0.5009316911652847	1.6442160762960423	0.5678477047645325
424	3	0.0773	0.2519	-0.289	14	14	-18.3	4	0	0.9640000000000001	0.5009316911652847	1.6442160762960423	-1.2081849398445161
428	3	0.3273	-0.0814	0.111	30	19	-13.84	4	0	1.304	0.5009316911652847	1.6442160762960423	-0.8460251121750364
436	3	0.2773	0.2519	-0.039	24	18	-17.53	4	0	1.203	0.5009316911652847	1.6442160762960423	-1.040561034650663
440	3	-0.0227	-0.0814	-0.389	10	12	-17.69	4	0	0.97	0.5009316911652847	1.6442160762960423	-1.2699322163461246
444	3	0.3273	-0.4147	0.361	40	19	-3.84	4	0	1.386	0.5009316911652847	1.6442160762960423	-0.42016518103637424
448	3	-0.1727	-0.4147	-0.039	24	9	3.24	4	0	1.874	0.5009316911652847	1.6442160762960423	-0.014624839888492502
458	3	0.2773	0.5853	-0.239	16	18	-25.53	4	0	1.411	0.5009316911652847	1.6442160762960423	-1.4921413068755824
462	3	-0.0227	0.2519	0.261	36	12	8.31	4	0	0.866	0.5009316911652847	1.6442160762960423	0.15556623639492217
466	3	-0.1727	-0.0814	0.011	26	9	5.24	4	0	1.2109999999999999	0.5009316911652847	1.6442160762960423	0.08588246955565992
470	3	-0.0227	-0.4147	-0.139	20	12	-7.69	4	0	0.9470000000000001	0.5009316911652847	1.6442160762960423	-0.6121489231198822
