onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0777	0.0835	28	17	-9.57	2	1	2.528	0.4303699987201536	1.4705065786296987	-0.39087960307984115
4	3	-0.2818	-0.411	-0.2665	14	7	-1.47	3	0	1.732	0.4303699987201536	1.4705065786296987	-0.14201155670360643
8	3	0.2682	-0.0777	0.0835	28	18	-11.78	3	0	1.972	0.4303699987201536	1.4705065786296987	-0.45286081261583266
14	3	-0.0818	-0.0777	-0.2165	16	11	-8.31	4	0	1.412	0.4303699987201536	1.4705065786296987	-0.4147065437326072
18	3	0.3682	-0.411	0.3835	40	20	-4.2	3	0	2.113	0.4303699987201536	1.4705065786296987	-0.2231223745859734
22	3	0.1682	-0.0777	-0.1665	18	16	-17.36	4	0	1.173	0.4303699987201536	1.4705065786296987	-0.6900689677711878
28	3	-0.0818	0.2557	0.3335	38	11	13.69	3	0	2.605	0.4303699987201536	1.4705065786296987	0.32897324450198795
32	3	-0.1318	0.2557	0.2835	36	10	13.9	2	1	1.901	0.4303699987201536	1.4705065786296987	0.3568765723416909
40	3	0.2682	-0.411	0.3835	40	18	0.22	2	1	2.925	0.4303699987201536	1.4705065786296987	-0.1047986015342941
44	3	-0.1318	-0.0777	-0.3665	10	10	-12.1	4	0	1.405	0.4303699987201536	1.4705065786296987	-0.6337320963065045
50	3	-0.3318	-0.0777	-0.0165	24	6	10.74	2	1	2.423	0.4303699987201536	1.4705065786296987	0.3734774958932041
56	3	-0.2318	-0.0777	-0.1165	20	8	2.32	2	1	1.671	0.4303699987201536	1.4705065786296987	0.015789382901256532
62	3	-0.0318	0.2557	0.3835	40	12	13.48	2	1	2.6069999999999998	0.4303699987201536	1.4705065786296987	0.303636216300629
68	3	-0.1318	-0.411	-0.0665	22	10	-0.1	3	0	2.062	0.4303699987201536	1.4705065786296987	-0.08957283109252479
76	3	-0.3318	-0.0777	-0.1665	18	6	4.74	1	1	2.2880000000000003	0.4303699987201536	1.4705065786296987	0.14485513267801853
80	3	0.1682	-0.0777	0.3335	38	16	2.64	2	1	2.201	0.4303699987201536	1.4705065786296987	-0.03212565046325633
90	3	0.3682	-0.0777	0.1335	30	20	-14.2	3	0	2.456	0.4303699987201536	1.4705065786296987	-0.5079589500739439
98	3	0.0682	-0.0777	-0.0665	22	14	-8.94	0	-1	0	0.4303699987201536	1.4705065786296987	-0.39819146499426994
102	3	0.2682	0.2557	-0.1665	18	18	-21.78	2	1	0.001	0.4303699987201536	1.4705065786296987	-0.8161450122973406
106	3	0.3182	0.589	-0.2165	16	19	-25.99	4	0	1.3519999999999999	0.4303699987201536	1.4705065786296987	-0.9619306822197622
110	3	-0.1318	-0.411	-0.0165	24	10	1.9	3	0	2.8339999999999996	0.4303699987201536	1.4705065786296987	-0.017415013663389045
116	3	0.3182	0.589	-0.3165	12	19	-29.99	4	0	1.67	0.4303699987201536	1.4705065786296987	-1.153945309976061
120	3	-0.1818	-0.0777	0.0835	28	9	8.11	2	1	2.3680000000000003	0.4303699987201536	1.4705065786296987	0.20505151624044848
126	3	-0.1318	-0.0777	0.1335	30	10	7.9	2	1	2.608	0.4303699987201536	1.4705065786296987	0.1804724583965014
130	3	0.1182	-0.0777	-0.1665	18	15	-15.15	4	0	2.079	0.4303699987201536	1.4705065786296987	-0.6236491485416522
142	3	0.0682	-0.411	0.1835	32	14	1.06	3	0	2.657	0.4303699987201536	1.4705065786296987	-0.06727874110438581
146	3	-0.0818	0.2557	0.2335	34	11	9.69	0	-1	0	0.4303699987201536	1.4705065786296987	0.21714400479045892
152	3	0.3182	-0.411	0.3335	38	19	-3.99	2	1	0.001	0.4303699987201536	1.4705065786296987	-0.21825089398516706
156	3	-0.1318	-0.0777	-0.2665	14	10	-8.1	4	0	1.594	0.4303699987201536	1.4705065786296987	-0.42385977177101464
160	3	-0.2318	0.589	0.2335	34	8	16.32	1	1	2.376	0.4303699987201536	1.4705065786296987	0.48143882690048057
164	3	-0.0818	-0.0777	0.1335	30	11	5.69	1	1	1.703	0.4303699987201536	1.4705065786296987	0.09753976246913254
168	3	0.0182	-0.411	0.1835	32	13	3.27	1	1	2.1519999999999997	0.4303699987201536	1.4705065786296987	0.004582673446424934
174	3	-0.0818	-0.411	-0.1665	18	11	-6.31	4	0	1.861	0.4303699987201536	1.4705065786296987	-0.3289700728059435
178	3	-0.2818	0.2557	0.1335	30	7	14.53	1	1	1.2570000000000001	0.4303699987201536	1.4705065786296987	0.4623206734639096
186	3	0.0182	-0.0777	-0.1665	18	13	-10.73	3	0	2.377	0.4303699987201536	1.4705065786296987	-0.48279459622950904
190	3	0.3182	0.589	-0.2665	14	19	-27.99	4	0	1.4680000000000002	0.4303699987201536	1.4705065786296987	-1.0540166061855385
198	3	-0.0818	-0.0777	-0.3165	12	11	-12.31	4	0	1.131	0.4303699987201536	1.4705065786296987	-0.606721171488906
202	3	0.0182	0.2557	-0.3665	10	13	-18.73	4	0	1.145	0.4303699987201536	1.4705065786296987	-0.8704893156574389
206	3	0.1682	-0.0777	-0.0665	22	16	-13.36	4	0	0.745	0.4303699987201536	1.4705065786296987	-0.5336044219851379
212	3	0.1682	0.2557	-0.3165	12	16	-23.36	4	0	1.18	0.4303699987201536	1.4705065786296987	-0.9678200664541503
218	3	0.2182	-0.411	0.3335	38	17	0.43	0	-1	0	0.4303699987201536	1.4705065786296987	-0.09622048545341766
226	3	0.0682	-0.0777	0.3835	40	14	9.06	2	1	0.001	0.4303699987201536	1.4705065786296987	0.1566903999827267
230	3	-0.3818	-0.0777	-0.0665	22	5	10.95	1	1	2.546	0.4303699987201536	1.4705065786296987	0.42129246008698495
234	3	0.1682	0.2557	-0.2165	16	16	-19.36	4	0	1.178	0.4303699987201536	1.4705065786296987	-0.7758054386978515
240	3	-0.3818	0.589	0.2335	34	5	22.95	1	1	1.212	0.4303699987201536	1.4705065786296987	0.8109419918973375
250	3	0.3182	0.589	-0.3665	10	19	-31.99	4	0	1.828	0.4303699987201536	1.4705065786296987	-1.2638889307210284
254	3	0.1682	0.2557	-0.2665	14	16	-21.36	4	0	0.9	0.4303699987201536	1.4705065786296987	-0.8678913626636278
258	3	-0.2318	0.2557	0.1335	30	8	12.32	1	1	1.203	0.4303699987201536	1.4705065786296987	0.3618345845791542
262	3	0.0682	-0.0777	0.2335	34	14	3.06	3	0	2.844	0.4303699987201536	1.4705065786296987	-0.008541933183917383
266	3	0.0682	-0.411	0.1335	30	14	-0.94	2	1	2.147	0.4303699987201536	1.4705065786296987	-0.12814617550524376
274	3	0.1182	-0.411	0.0335	26	15	-7.15	0	-1	0	0.4303699987201536	1.4705065786296987	-0.32621908677955735
282	3	0.3682	0.589	-0.3665	10	20	-34.2	4	0	0.001	0.4303699987201536	1.4705065786296987	-1.3221635047769498
286	3	-0.2818	0.589	0.2335	34	7	18.53	1	1	0.9390000000000001	0.4303699987201536	1.4705065786296987	0.581924915785236
292	3	-0.3818	-0.411	-0.3665	10	5	-1.05	3	0	2.2769999999999997	0.4303699987201536	1.4705065786296987	-0.12286680512699477
296	3	0.3682	0.2557	-0.1165	20	20	-24.2	4	0	1.979	0.4303699987201536	1.4705065786296987	-0.8540041517518415
300	3	0.3682	-0.0777	0.0835	28	20	-16.2	4	0	1.78	0.4303699987201536	1.4705065786296987	-0.571184585667512
304	3	-0.3818	0.589	0.2835	36	5	24.95	1	1	1.4980000000000002	0.4303699987201536	1.4705065786296987	0.8677418635212006
308	3	-0.2818	0.2557	0.0335	26	7	10.53	2	1	2.126	0.4303699987201536	1.4705065786296987	0.3332408999509284
316	3	0.2182	-0.0777	0.0335	26	17	-11.57	2	1	2.9730000000000003	0.4303699987201536	1.4705065786296987	-0.45673374099925423
326	3	0.1182	0.2557	-0.2165	16	15	-17.15	4	0	0.99	0.4303699987201536	1.4705065786296987	-0.7093856194683159
330	3	-0.1318	-0.0777	0.0335	26	10	3.9	4	0	1.485	0.4303699987201536	1.4705065786296987	0.05139268488352022
338	3	0.1182	-0.0777	0.3335	38	15	4.85	4	0	1.735	0.4303699987201536	1.4705065786296987	0.03429416876627922
346	3	-0.0818	-0.0777	0.0335	26	11	1.69	3	0	2.5340000000000003	0.4303699987201536	1.4705065786296987	-0.031540011043848626
356	3	-0.3818	0.2557	0.0835	28	5	16.95	1	1	1.5030000000000001	0.4303699987201536	1.4705065786296987	0.628112113982443
362	3	0.2682	0.589	-0.2665	14	18	-25.78	4	0	1.445	0.4303699987201536	1.4705065786296987	-0.9939674071897806
368	3	-0.0318	-0.411	-0.0665	22	12	-4.52	4	0	2.015	0.4303699987201536	1.4705065786296987	-0.25124564867636767
372	3	0.1182	-0.0777	0.2335	34	15	0.85	3	0	1.71	0.4303699987201536	1.4705065786296987	-0.0775350709452498
376	3	0.0182	-0.0777	0.3335	38	13	9.27	2	1	2.734	0.4303699987201536	1.4705065786296987	0.1751487210784224
380	3	-0.2318	-0.411	-0.3665	10	8	-7.68	4	0	1.3019999999999998	0.4303699987201536	1.4705065786296987	-0.4523699701238517
394	3	-0.1818	-0.0777	-0.3165	12	9	-7.89	0	-1	0	0.4303699987201536	1.4705065786296987	-0.435983782124022
398	3	-0.0818	0.2557	0.2835	36	11	11.69	3	0	0.001	0.4303699987201536	1.4705065786296987	0.27394387641432205
404	3	-0.3818	-0.411	-0.2665	14	5	2.95	1	1	1.8630000000000002	0.4303699987201536	1.4705065786296987	0.0870055194084951
408	3	-0.0818	-0.411	-0.0665	22	11	-2.31	3	0	2.267	0.4303699987201536	1.4705065786296987	-0.17250552701989363
412	3	0.3182	0.2557	-0.1665	18	19	-23.99	4	0	1.6869999999999998	0.4303699987201536	1.4705065786296987	-0.8761942112930985
418	3	-0.2318	-0.0777	-0.0665	22	8	4.32	2	1	1.432	0.4303699987201536	1.4705065786296987	0.09178929509012801
428	3	-0.3318	0.589	0.3335	38	6	24.74	1	1	2.154	0.4303699987201536	1.4705065786296987	0.80279844998595
