onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.078	0.0835	28	17	11.17	2	1	1.203	0.7612194498174479	1.0355192934792707	1.8431694474150797
4	3	-0.2818	-0.4113	-0.2665	14	7	7.07	2	1	1.123	0.7612194498174479	1.0355192934792707	1.4501944338280515
8	3	0.2682	-0.078	0.0835	28	18	10.18	2	1	0.9690000000000001	0.7612194498174479	1.0355192934792707	1.6441744085174275
14	3	-0.0818	-0.078	-0.2165	16	11	5.11	2	1	1.102	0.7612194498174479	1.0355192934792707	0.9137838426096896
18	3	0.3682	-0.4113	0.3835	40	20	20.2	1	1	0.9690000000000001	0.7612194498174479	1.0355192934792707	3.2247088263068475
22	3	0.1682	-0.078	-0.1665	18	16	2.16	2	1	1.261	0.7612194498174479	1.0355192934792707	0.24049243454434777
28	3	-0.0818	0.2554	0.3335	38	11	27.11	2	1	1.35	0.7612194498174479	1.0355192934792707	4.758752976948479
32	3	-0.1318	0.2554	0.2835	36	10	26.1	1	1	2.157	0.7612194498174479	1.0355192934792707	4.66216152131754
40	3	0.2682	-0.4113	0.3835	40	18	22.18	1	1	1.6780000000000002	0.7612194498174479	1.0355192934792707	3.6149974993047698
44	3	-0.1318	-0.078	-0.3665	10	10	0.1	2	1	1.581	0.7612194498174479	1.0355192934792707	-0.10248345841383832
50	3	-0.3318	-0.078	-0.0165	24	6	18.06	1	1	1.133	0.7612194498174479	1.0355192934792707	3.593193480532299
56	3	-0.2318	-0.078	-0.1165	20	8	12.08	2	1	2.2230000000000003	0.7612194498174479	1.0355192934792707	2.3693141155476294
62	3	-0.0318	0.2554	0.3835	40	12	28.12	1	1	1.046	0.7612194498174479	1.0355192934792707	4.85616343563397
68	3	-0.1318	-0.4113	-0.0665	22	10	12.1	2	1	1.5519999999999998	0.7612194498174479	1.0355192934792707	2.2705617474310444
76	3	-0.3318	-0.078	-0.1665	18	6	12.06	2	1	1.2790000000000001	0.7612194498174479	1.0355192934792707	2.488222495313439
80	3	0.1682	-0.078	0.3335	38	16	22.16	2	1	2.4530000000000003	0.7612194498174479	1.0355192934792707	3.69840291898322
90	3	0.3682	-0.078	0.1335	30	20	10.2	2	1	1.328	0.7612194498174479	1.0355192934792707	1.5945629961343508
98	3	0.0682	-0.078	-0.0665	22	14	8.14	2	1	1.008	0.7612194498174479	1.0355192934792707	1.3983720054008062
