onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0788	0.0835	28	17	-11.22	0	-1	0	0.5009316911652847	1.6442160762960423	-0.7446196206223132
4	3	-0.2818	-0.4121	-0.2665	14	7	-2.15	1	1	2.661	0.5009316911652847	1.6442160762960423	-0.303606092004435
8	3	0.2682	-0.0788	0.0835	28	18	-13.53	2	1	2.8689999999999998	0.5009316911652847	1.6442160762960423	-0.8433363424565856
14	3	-0.0818	-0.0788	-0.2165	16	11	-9.38	3	0	2.5180000000000002	0.5009316911652847	1.6442160762960423	-0.7275491823747462
18	3	0.3682	-0.4121	0.3835	40	20	-6.14	0	-1	0	0.5009316911652847	1.6442160762960423	-0.513690160677009
22	3	0.1682	-0.0788	-0.1665	18	16	-18.91	4	0	1.6219999999999999	0.5009316911652847	1.6442160762960423	-1.1698971823143363
28	3	-0.0818	0.2545	0.3335	38	11	12.62	2	1	1.9280000000000002	0.5009316911652847	1.6442160762960423	0.35994839779939225
32	3	-0.1318	0.2545	0.2835	36	10	12.93	1	1	1.2229999999999999	0.5009316911652847	1.6442160762960423	0.4047158638032444
40	3	0.2682	-0.4121	0.3835	40	18	-1.53	1	1	1.4880000000000002	0.5009316911652847	1.6442160762960423	-0.3241495992651098
44	3	-0.1318	-0.0788	-0.3665	10	10	-13.07	4	0	2.655	0.5009316911652847	1.6442160762960423	-1.0207825889378024
50	3	-0.3318	-0.0788	-0.0165	24	6	10.16	1	1	1.455	0.5009316911652847	1.6442160762960423	0.4396436505879624
56	3	-0.2318	-0.0788	-0.1165	20	8	1.54	1	1	1.7369999999999999	0.5009316911652847	1.6442160762960423	-0.08746423976391648
62	3	-0.0318	0.2545	0.3835	40	12	12.31	1	1	2.113	0.5009316911652847	1.6442160762960423	0.31869807735621025
68	3	-0.1318	-0.4121	-0.0665	22	10	-1.07	2	1	1.641	0.5009316911652847	1.6442160762960423	-0.25334550272014233
76	3	-0.3318	-0.0788	-0.1665	18	6	4.16	0	-1	0	0.5009316911652847	1.6442160762960423	0.10993092445732389
80	3	0.1682	-0.0788	0.3335	38	16	1.09	2	1	0.001	0.5009316911652847	1.6442160762960423	-0.20426714823447867
90	3	0.3682	-0.0788	0.1335	30	20	-16.14	3	0	2.049	0.5009316911652847	1.6442160762960423	-0.9395500918156712
