onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	-1.25	4	0	1.045	0.5537157378673937	1.4527289403175667	-0.6272199729366514
4	3	-0.0227	-0.4147	-0.189	18	12	1	3	0	0.919	0.5537157378673937	1.4527289403175667	-0.3978888500340356
8	3	0.1273	0.2519	-0.389	10	15	-11.25	4	0	0.688	0.5537157378673937	1.4527289403175667	-1.4643693259712478
18	3	0.1773	-0.0814	0.211	34	16	11.33	2	1	1.034	0.5537157378673937	1.4527289403175667	0.15144163138151123
24	3	-0.3727	-0.0814	-0.189	18	5	10.92	1	1	0.9059999999999999	0.5537157378673937	1.4527289403175667	0.7067525422959084
28	3	0.0273	-0.4147	0.011	26	13	7.58	2	1	1.178	0.5537157378673937	1.4527289403175667	0.03131029176552014
38	3	0.2273	-0.0814	0.161	32	17	7.92	3	0	1.069	0.5537157378673937	1.4527289403175667	-0.07999201940737644
42	3	-0.3727	-0.4147	-0.239	16	5	8.92	1	1	0.8079999999999999	0.5537157378673937	1.4527289403175667	0.5503230111363386
46	3	-0.2727	-0.0814	-0.089	22	7	12.08	2	1	0.8	0.5537157378673937	1.4527289403175667	0.6352638937113428
52	3	-0.2227	0.5853	0.261	36	8	24.67	2	1	0.987	0.5537157378673937	1.4527289403175667	1.3395403223850608
56	3	-0.1227	-0.0814	-0.239	16	10	1.83	4	0	0.831	0.5537157378673937	1.4527289403175667	-0.2781960190018733
62	3	0.0273	-0.4147	0.111	30	13	11.58	2	1	1.087	0.5537157378673937	1.4527289403175667	0.2817549783268567
74	3	0.2273	0.5853	-0.289	14	17	-10.08	4	0	0.893	0.5537157378673937	1.4527289403175667	-1.3314195784140028
78	3	0.3273	-0.0814	0.061	28	19	1.08	4	0	1.351	0.5537157378673937	1.4527289403175667	-0.5443428734855629
82	3	0.3773	0.5853	-0.289	14	20	-14.33	4	0	0.9279999999999999	0.5537157378673937	1.4527289403175667	-1.6597807532450468
86	3	0.1773	-0.4147	0.011	26	16	3.33	4	0	0.9229999999999999	0.5537157378673937	1.4527289403175667	-0.3349285509447908
90	3	-0.3727	0.5853	0.361	40	5	32.92	1	1	0.9309999999999999	0.5537157378673937	1.4527289403175667	2.0844148876529593
94	3	-0.0227	-0.0814	0.061	28	12	11	3	0	1.109	0.5537157378673937	1.4527289403175667	0.28884188133982436
98	3	0.1773	-0.0814	-0.139	20	16	-2.67	4	0	0.92	0.5537157378673937	1.4527289403175667	-0.7455960082985444
102	3	-0.3727	0.2519	0.011	26	5	18.92	1	1	0.9209999999999999	0.5537157378673937	1.4527289403175667	1.2662631347505027
106	3	0.3773	-0.0814	0.161	32	20	3.67	2	1	1.056	0.5537157378673937	1.4527289403175667	-0.4083531942384204
110	3	0.2273	0.2519	-0.189	18	17	-6.08	3	0	0.912	0.5537157378673937	1.4527289403175667	-1.0095564055327455
116	3	-0.3227	-0.0814	-0.139	20	6	11.5	1	1	0.912	0.5537157378673937	1.4527289403175667	0.6674836630842476
120	3	0.2773	0.2519	-0.139	20	18	-5.5	4	0	1.125	0.5537157378673937	1.4527289403175667	-0.9728457153343602
126	3	-0.2727	0.5853	0.361	40	7	30.08	1	1	0.8370000000000001	0.5537157378673937	1.4527289403175667	1.7217495697055147
130	3	-0.3227	0.5853	0.261	36	6	27.5	1	1	0.737	0.5537157378673937	1.4527289403175667	1.6778217826441904
134	3	0.3773	0.5853	-0.239	16	20	-12.33	4	0	0.784	0.5537157378673937	1.4527289403175667	-1.4943471115233593
140	3	0.1273	-0.0814	0.361	40	15	18.75	1	1	1.115	0.5537157378673937	1.4527289403175667	0.6015992373195589
148	3	-0.3227	-0.4147	-0.389	10	6	1.5	4	0	0.996	0.5537157378673937	1.4527289403175667	-0.1696656899503488
156	3	0.1273	0.2519	-0.339	12	15	-9.25	4	0	1.061	0.5537157378673937	1.4527289403175667	-1.27429783050605
160	3	0.2273	-0.4147	0.211	34	17	9.92	1	1	0.9520000000000001	0.5537157378673937	1.4527289403175667	0.036324369248150745
164	3	0.0773	-0.0814	-0.189	18	14	-1.83	4	0	0.8490000000000001	0.5537157378673937	1.4527289403175667	-0.654108904368162
170	3	0.0273	-0.0814	0.361	40	13	21.58	1	1	1.056	0.5537157378673937	1.4527289403175667	0.8494620446679768
174	3	0.3273	-0.0814	0.161	32	19	5.08	2	1	1.294	0.5537157378673937	1.4527289403175667	-0.3015092187340538
178	3	-0.0227	-0.0814	-0.289	14	12	-3	4	0	0.865	0.5537157378673937	1.4527289403175667	-0.7197520229152929
182	3	-0.1227	-0.0814	0.161	32	10	17.83	2	1	1.226	0.5537157378673937	1.4527289403175667	0.8077978982830656
192	3	0.2273	-0.4147	0.261	36	17	11.92	2	1	0.982	0.5537157378673937	1.4527289403175667	0.14962484912803786
202	3	0.0273	-0.4147	0.061	28	13	9.58	3	0	1.401	0.5537157378673937	1.4527289403175667	0.1585304306847859
208	3	0.0273	-0.0814	0.211	34	13	15.58	2	1	0.94	0.5537157378673937	1.4527289403175667	0.5176804740918222
212	3	0.0773	-0.0814	0.311	38	14	18.17	2	1	1.097	0.5537157378673937	1.4527289403175667	0.6155965181959342
220	3	-0.0727	-0.0814	0.161	32	11	16.42	2	1	0.889	0.5537157378673937	1.4527289403175667	0.6669317059657014
224	3	-0.1727	-0.0814	0.161	32	9	19.25	1	1	0.882	0.5537157378673937	1.4527289403175667	0.9551065827961178
234	3	0.1773	-0.4147	0.111	30	16	7.33	2	1	0.948	0.5537157378673937	1.4527289403175667	-0.08448386438345423
238	3	-0.1227	0.2519	0.211	34	10	19.83	2	1	1.274	0.5537157378673937	1.4527289403175667	0.9241142869385928
246	3	-0.2227	-0.0814	-0.189	18	8	6.67	4	0	1.3869999999999998	0.5537157378673937	1.4527289403175667	0.18035906772427746
250	3	0.3773	-0.4147	0.211	34	20	5.67	4	0	0.9129999999999999	0.5537157378673937	1.4527289403175667	-0.29203680558289324
256	3	0.1773	-0.4147	0.161	32	16	9.33	3	0	1.135	0.5537157378673937	1.4527289403175667	0.03512524272598405
260	3	-0.0227	-0.4147	-0.039	24	12	7	3	0	1.226	0.5537157378673937	1.4527289403175667	0.02995289398063017
266	3	-0.0227	0.2519	0.311	38	12	21	1	1	1.15	0.5537157378673937	1.4527289403175667	0.8718165725300606
272	3	-0.1227	0.2519	0.311	38	10	23.83	2	1	0.773	0.5537157378673937	1.4527289403175667	1.1479389347217928
280	3	-0.2727	-0.0814	-0.039	24	7	14.08	1	1	0.845	0.5537157378673937	1.4527289403175667	0.7719289683631296
284	3	0.0273	0.2519	-0.239	16	13	-2.42	4	0	1.0390000000000001	0.5537157378673937	1.4527289403175667	-0.6846298318486439
296	3	0.3273	-0.4147	0.261	36	19	9.08	2	1	1.195	0.5537157378673937	1.4527289403175667	-0.07189235019863949
310	3	-0.3727	0.2519	0.161	32	5	24.92	1	1	0.8640000000000001	0.5537157378673937	1.4527289403175667	1.6363169284212775
316	3	-0.1727	0.2519	0.211	34	9	21.25	2	1	0.797	0.5537157378673937	1.4527289403175667	1.071422971451645
320	3	-0.2727	0.2519	0.061	28	7	18.08	1	1	1.075	0.5537157378673937	1.4527289403175667	1.0308179557223238
324	3	0.0273	-0.0814	-0.039	24	13	5.58	3	0	1.679	0.5537157378673937	1.4527289403175667	-0.1003585566744083
330	3	-0.3727	0.5853	0.311	38	5	30.92	1	1	0.922	0.5537157378673937	1.4527289403175667	1.9764579648600047
336	3	-0.1727	-0.4147	-0.089	22	9	9.25	3	0	1.109	0.5537157378673937	1.4527289403175667	0.31671886603362776
342	3	-0.0727	-0.0814	-0.389	10	11	-5.58	4	0	0.8240000000000001	0.5537157378673937	1.4527289403175667	-0.9509388980934235
346	3	0.0773	0.2519	-0.339	12	14	-7.83	3	0	1.082	0.5537157378673937	1.4527289403175667	-1.15234362683672
350	3	0.3273	-0.4147	0.211	34	19	7.08	3	0	1.24	0.5537157378673937	1.4527289403175667	-0.1851928300785266
360	3	-0.2727	0.5853	0.311	38	7	28.08	1	1	0.736	0.5537157378673937	1.4527289403175667	1.61379264691256
364	3	-0.3227	0.2519	0.111	30	6	21.5	2	1	0.904	0.5537157378673937	1.4527289403175667	1.3285958069993378
368	3	0.2773	-0.0814	0.011	26	18	0.5	3	0	0.88	0.5537157378673937	1.4527289403175667	-0.5621782579806065
374	3	-0.3227	-0.4147	-0.289	14	6	5.5	4	0	1.15	0.5537157378673937	1.4527289403175667	0.19677735510214966
