onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	-21.61	0	-1	0	0.5160658094052709	1.7966641697878574	-1.2876177999593126
4	3	-0.0227	-0.4147	-0.189	18	12	-15.29	4	0	1.8359999999999999	0.5160658094052709	1.7966641697878574	-1.0165114693494823
8	3	0.1273	0.2519	-0.389	10	15	-31.61	4	0	0.867	0.5160658094052709	1.7966641697878574	-1.9932119725664157
18	3	0.1773	-0.0814	0.211	34	16	-10.38	4	0	1.482	0.5160658094052709	1.7966641697878574	-0.6715902164751801
24	3	-0.3727	-0.0814	-0.189	18	5	4.13	4	0	1.1159999999999999	0.5160658094052709	1.7966641697878574	0.16080070360496235
28	3	0.0273	-0.4147	0.011	26	13	-10.06	4	0	1.069	0.5160658094052709	1.7966641697878574	-0.6887269400513905
38	3	0.2273	-0.0814	0.161	32	17	-15.16	4	0	0.971	0.5160658094052709	1.7966641697878574	-0.8860279743589707
42	3	-0.3727	-0.4147	-0.239	16	5	2.13	3	0	1.899	0.5160658094052709	1.7966641697878574	0.029753162271791922
46	3	-0.2727	-0.0814	-0.089	22	7	2.58	3	0	1.453	0.5160658094052709	1.7966641697878574	0.012370584669297191
52	3	-0.2227	0.5853	0.261	36	8	13.81	2	1	2.4130000000000003	0.5160658094052709	1.7966641697878574	0.5505992954275682
56	3	-0.1227	-0.0814	-0.239	16	10	-11.74	4	0	1.686	0.5160658094052709	1.7966641697878574	-0.8567302302975088
62	3	0.0273	-0.4147	0.111	30	13	-6.06	3	0	1.757	0.5160658094052709	1.7966641697878574	-0.48281973637757103
74	3	0.2273	0.5853	-0.289	14	17	-33.16	4	0	1.5490000000000002	0.5160658094052709	1.7966641697878574	-1.9245536800931773
78	3	0.3273	-0.0814	0.061	28	19	-24.7	4	0	1.525	0.5160658094052709	1.7966641697878574	-1.3141728011267935
82	3	0.3773	0.5853	-0.289	14	20	-41.48	4	0	1.396	0.5160658094052709	1.7966641697878574	-2.263692957891066
86	3	0.1773	-0.4147	0.011	26	16	-18.38	4	0	1.19	0.5160658094052709	1.7966641697878574	-1.0704919004953752
90	3	-0.3727	0.5853	0.361	40	5	26.13	3	0	1.038	0.5160658094052709	1.7966641697878574	1.294005790474642
94	3	-0.0227	-0.0814	0.061	28	12	-5.29	3	0	1.953	0.5160658094052709	1.7966641697878574	-0.4474104085795654
98	3	0.1773	-0.0814	-0.139	20	16	-24.38	4	0	1.55	0.5160658094052709	1.7966641697878574	-1.4106882819713369
102	3	-0.3727	0.2519	0.011	26	5	12.13	2	1	1.6540000000000001	0.5160658094052709	1.7966641697878574	0.6251670719626645
106	3	0.3773	-0.0814	0.161	32	20	-23.48	4	0	1.493	0.5160658094052709	1.7966641697878574	-1.2251672521568593
110	3	0.2273	0.2519	-0.189	18	17	-29.16	4	0	1.399	0.5160658094052709	1.7966641697878574	-1.6542591795007406
116	3	-0.3227	-0.0814	-0.139	20	6	3.36	3	0	2.294	0.5160658094052709	1.7966641697878574	0.08160106274170031
120	3	0.2773	0.2519	-0.139	20	18	-29.93	4	0	1.263	0.5160658094052709	1.7966641697878574	-1.6461367040234376
126	3	-0.2727	0.5853	0.361	40	7	20.58	2	1	1.35	0.5160658094052709	1.7966641697878574	0.9031135332631659
130	3	-0.3227	0.5853	0.261	36	6	19.36	2	1	1.599	0.5160658094052709	1.7966641697878574	0.9130668459851763
134	3	0.3773	0.5853	-0.239	16	20	-39.48	4	0	0.9990000000000001	0.5160658094052709	1.7966641697878574	-2.1244459986317996
140	3	0.1273	-0.0814	0.361	40	15	-1.61	3	0	1.5190000000000001	0.5160658094052709	1.7966641697878574	-0.2785826999713734
148	3	-0.3227	-0.4147	-0.389	10	6	-6.64	4	0	1.423	0.5160658094052709	1.7966641697878574	-0.6239931098654028
156	3	0.1273	0.2519	-0.339	12	15	-29.61	4	0	1.135	0.5160658094052709	1.7966641697878574	-1.8313404412721261
160	3	0.2273	-0.4147	0.211	34	17	-13.16	3	0	1.986	0.5160658094052709	1.7966641697878574	-0.7909911271228434
164	3	0.0773	-0.0814	-0.189	18	14	-20.83	4	0	1.248	0.5160658094052709	1.7966641697878574	-1.2846782464000444
170	3	0.0273	-0.0814	0.361	40	13	3.94	3	0	2.7910000000000004	0.5160658094052709	1.7966641697878574	-0.019888221539412942
174	3	0.3273	-0.0814	0.161	32	19	-20.7	3	0	2.24	0.5160658094052709	1.7966641697878574	-1.1150426567549405
178	3	-0.0227	-0.0814	-0.289	14	12	-19.29	4	0	1.159	0.5160658094052709	1.7966641697878574	-1.286805969941919
182	3	-0.1227	-0.0814	0.161	32	10	4.26	3	0	1.599	0.5160658094052709	1.7966641697878574	0.042548516177431495
192	3	0.2273	-0.4147	0.261	36	17	-11.16	3	0	1.776	0.5160658094052709	1.7966641697878574	-0.6986234093755241
202	3	0.0273	-0.4147	0.061	28	13	-8.06	3	0	2.032	0.5160658094052709	1.7966641697878574	-0.5839922476391757
208	3	0.0273	-0.0814	0.211	34	13	-2.06	3	0	1.536	0.5160658094052709	1.7966641697878574	-0.28982525603119536
212	3	0.0773	-0.0814	0.311	38	14	-0.83	3	0	1.3530000000000002	0.5160658094052709	1.7966641697878574	-0.23912654754376073
220	3	-0.0727	-0.0814	0.161	32	11	1.49	3	0	2.448	0.5160658094052709	1.7966641697878574	-0.10606953050324686
224	3	-0.1727	-0.0814	0.161	32	9	7.04	2	1	1.5930000000000002	0.5160658094052709	1.7966641697878574	0.19855126605771378
234	3	0.1773	-0.4147	0.111	30	16	-14.38	3	0	2.202	0.5160658094052709	1.7966641697878574	-0.8645846968215558
238	3	-0.1227	0.2519	0.211	34	10	6.26	3	0	2.169	0.5160658094052709	1.7966641697878574	0.13758536341355887
246	3	-0.2227	-0.0814	-0.189	18	8	-4.19	3	0	1.808	0.5160658094052709	1.7966641697878574	-0.40503647469764825
250	3	0.3773	-0.4147	0.211	34	20	-21.48	3	0	2.322	0.5160658094052709	1.7966641697878574	-1.130130404920732
256	3	0.1773	-0.4147	0.161	32	16	-12.38	3	0	2.019	0.5160658094052709	1.7966641697878574	-0.7666270637113075
260	3	-0.0227	-0.4147	-0.039	24	12	-9.29	3	0	1.242	0.5160658094052709	1.7966641697878574	-0.6608570639368598
