onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0777	0.0835	28	17	-5.43	0	-1	1.9380000000000002	0.44860817724345414	1.5467571902367283	-0.5273065924122688
4	3	-0.2818	-0.411	-0.2665	14	7	0.23	1	1	1.933	0.44860817724345414	1.5467571902367283	-0.21789176212428574
8	3	0.2682	-0.0777	0.0835	28	18	-7.4	2	1	2.9739999999999998	0.44860817724345414	1.5467571902367283	-0.5989059093201301
14	3	-0.0818	-0.0777	-0.2165	16	11	-5.63	2	1	2.853	0.44860817724345414	1.5467571902367283	-0.5332202796231742
18	3	0.3682	-0.411	0.3835	40	20	0.67	1	1	2.638	0.44860817724345414	1.5467571902367283	-0.34895997303272175
22	3	0.1682	-0.0777	-0.1665	18	16	-13.47	3	0	2.0540000000000003	0.44860817724345414	1.5467571902367283	-0.8541860042968195
28	3	-0.0818	0.2557	0.3335	38	11	16.37	2	1	2.912	0.44860817724345414	1.5467571902367283	0.2890495780331208
32	3	-0.1318	0.2557	0.2835	36	10	16.33	2	1	2.7260000000000004	0.44860817724345414	1.5467571902367283	0.32269639987807697
40	3	0.2682	-0.411	0.3835	40	18	4.6	1	1	1.929	0.44860817724345414	1.5467571902367283	-0.2120715409298457
44	3	-0.1318	-0.0777	-0.3665	10	10	-9.67	1	1	2.046	0.44860817724345414	1.5467571902367283	-0.768020274043844
50	3	-0.3318	-0.0777	-0.0165	24	6	12.2	1	1	2.249	0.44860817724345414	1.5467571902367283	0.3526515058932562
56	3	-0.2318	-0.0777	-0.1165	20	8	4.27	1	1	2.801	0.44860817724345414	1.5467571902367283	-0.0487357181382817
62	3	-0.0318	0.2557	0.3835	40	12	16.4	1	1	2.273	0.44860817724345414	1.5467571902367283	0.25829766766775686
68	3	-0.1318	-0.411	-0.0665	22	10	2.33	0	-1	0	0.44860817724345414	1.5467571902367283	-0.17195754730103197
76	3	-0.3318	-0.0777	-0.1665	18	6	6.2	2	1	1.671	0.44860817724345414	1.5467571902367283	0.1007671937034984
80	3	0.1682	-0.0777	0.3335	38	16	6.53	2	1	2.285	0.44860817724345414	1.5467571902367283	-0.1260232148648064
90	3	0.3682	-0.0777	0.1335	30	20	-9.33	2	1	1.69	0.44860817724345414	1.5467571902367283	-0.6657155593661233
98	3	0.0682	-0.0777	-0.0665	22	14	-5.53	2	1	2.562	0.44860817724345414	1.5467571902367283	-0.525959841337706
102	3	0.2682	0.2557	-0.1665	18	18	-17.4	2	1	2.967	0.44860817724345414	1.5467571902367283	-0.9997467887248257
106	3	0.3182	0.589	-0.2165	16	19	-21.37	4	0	2.278	0.44860817724345414	1.5467571902367283	-1.1632917357555599
110	3	-0.1318	-0.411	-0.0165	24	10	4.33	0	-1	0	0.44860817724345414	1.5467571902367283	-0.09231617709615447
116	3	0.3182	0.589	-0.3165	12	19	-25.37	3	0	2.807	0.44860817724345414	1.5467571902367283	-1.3732848919017324
120	3	-0.1818	-0.0777	0.0835	28	9	10.3	1	1	2.279	0.44860817724345414	1.5467571902367283	0.15694530911594606
126	3	-0.1318	-0.0777	0.1335	30	10	10.33	2	1	1.587	0.44860817724345414	1.5467571902367283	0.1267191721756662
130	3	0.1182	-0.0777	-0.1665	18	15	-11.5	4	0	2.449	0.44860817724345414	1.5467571902367283	-0.777629053957335
