onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0788	0.0835	28	17	9.57	2	1	2.019	0.7400290570416128	1.1814098773172101	1.07948956556874
4	3	-0.2818	-0.4121	-0.2665	14	7	6.41	2	1	1.5659999999999998	0.7400290570416128	1.1814098773172101	1.0315682156677441
8	3	0.2682	-0.0788	0.0835	28	18	8.48	2	1	1.4609999999999999	0.7400290570416128	1.1814098773172101	0.8717663864750342
14	3	-0.0818	-0.0788	-0.2165	16	11	4.07	2	1	1.3630000000000002	0.7400290570416128	1.1814098773172101	0.4073078414832656
18	3	0.3682	-0.4121	0.3835	40	20	18.32	1	1	1.31	0.7400290570416128	1.1814098773172101	2.2433696884201675
22	3	0.1682	-0.0788	-0.1665	18	16	0.65	3	0	1.93	0.7400290570416128	1.1814098773172101	-0.35148943921899267
28	3	-0.0818	0.2545	0.3335	38	11	26.07	1	1	2.126	0.7400290570416128	1.1814098773172101	3.8963645358338033
32	3	-0.1318	0.2545	0.2835	36	10	25.16	1	1	1.238	0.7400290570416128	1.1814098773172101	3.8441538867218474
40	3	0.2682	-0.4121	0.3835	40	18	20.48	1	1	1.483	0.7400290570416128	1.1814098773172101	2.650071708368416
44	3	-0.1318	-0.0788	-0.3665	10	10	-0.84	3	0	2.1180000000000003	0.7400290570416128	1.1814098773172101	-0.49849406381960026
50	3	-0.3318	-0.0788	-0.0165	24	6	17.49	1	1	1.287	0.7400290570416128	1.1814098773172101	3.0280416869227804
56	3	-0.2318	-0.0788	-0.1165	20	8	11.33	2	1	1.324	0.7400290570416128	1.1814098773172101	1.837327121652752
62	3	-0.0318	0.2545	0.3835	40	12	26.99	1	1	1.341	0.7400290570416128	1.1814098773172101	3.9501893673213395
68	3	-0.1318	-0.4121	-0.0665	22	10	11.16	1	1	1.635	0.7400290570416128	1.1814098773172101	1.678567373224796
76	3	-0.3318	-0.0788	-0.1665	18	6	11.49	1	1	2.02	0.7400290570416128	1.1814098773172101	2.0208347747708575
80	3	0.1682	-0.0788	0.3335	38	16	20.65	2	1	1.671	0.7400290570416128	1.1814098773172101	2.7832029720600984
90	3	0.3682	-0.0788	0.1335	30	20	8.32	2	1	1.395	0.7400290570416128	1.1814098773172101	0.7734513147507114
98	3	0.0682	-0.0788	-0.0665	22	14	6.82	2	1	1.516	0.7400290570416128	1.1814098773172101	0.7606818460265075
102	3	0.2682	0.2545	-0.1665	18	18	-1.52	3	0	1.87	0.7400290570416128	1.1814098773172101	-0.7701389034080313
106	3	0.3182	0.5879	-0.2165	16	19	-4.6	3	0	2.367	0.7400290570416128	1.1814098773172101	-1.3292460948983207
110	3	-0.1318	-0.4121	-0.0165	24	10	13.16	1	1	1.7830000000000001	0.7400290570416128	1.1814098773172101	2.00612216035913
116	3	0.3182	0.5879	-0.3165	12	19	-8.6	4	0	2.986	0.7400290570416128	1.1814098773172101	-2.0753615724204453
120	3	-0.1818	-0.0788	0.0835	28	9	18.24	1	1	1.87	0.7400290570416128	1.1814098773172101	2.8843241376887745
126	3	-0.1318	-0.0788	0.1335	30	10	19.16	1	1	1.4869999999999999	0.7400290570416128	1.1814098773172101	2.949207486314198
130	3	0.1182	-0.0788	-0.1665	18	15	1.74	3	0	2.408	0.7400290570416128	1.1814098773172101	-0.13710542400837955
