onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0827	-0.1194	20	5	8.46	1	1	1.3980000000000001	0.5009316911652847	1.6442160762960423	0.4012697393878215
4	3	0.2294	0.2506	-0.0694	22	17	-17.22	4	0	1.415	0.5009316911652847	1.6442160762960423	-1.0466260849155122
8	3	0.1794	0.2506	-0.3694	10	16	-26.91	4	0	1.218	0.5009316911652847	1.6442160762960423	-1.7124033145004793
12	3	0.2794	-0.416	0.3306	38	18	-3.53	4	0	1.4180000000000001	0.5009316911652847	1.6442160762960423	-0.404643726701444
16	3	0.0794	-0.0827	-0.1194	20	14	-12.3	4	0	1.0390000000000001	0.5009316911652847	1.6442160762960423	-0.8413014825618199
24	3	0.0294	0.2506	-0.2694	14	13	-15.99	4	0	1.035	0.5009316911652847	1.6442160762960423	-1.0958103910336527
28	3	-0.2206	0.584	0.3806	40	8	21.54	2	1	1.4040000000000001	0.5009316911652847	1.6442160762960423	0.843382760712176
32	3	0.2794	-0.0827	0.1806	32	18	-9.53	4	0	0.909	0.5009316911652847	1.6442160762960423	-0.6597395140410303
36	3	-0.2206	-0.0827	-0.0194	24	8	5.54	2	1	1.4169999999999998	0.5009316911652847	1.6442160762960423	0.1269713253266227
40	3	0.0794	-0.0827	0.2806	36	14	3.7	3	0	1.139	0.5009316911652847	1.6442160762960423	-0.07358632304701551
44	3	-0.3206	0.2506	0.0806	28	6	14.16	2	1	1.589	0.5009316911652847	1.6442160762960423	0.6368683427820399
48	3	0.0794	0.2506	-0.2194	16	14	-16.3	4	0	0.972	0.5009316911652847	1.6442160762960423	-1.0784461896962
56	3	-0.1706	-0.0827	-0.2694	14	9	-6.76	4	0	1.403	0.5009316911652847	1.6442160762960423	-0.5959438622617279
60	3	0.0294	-0.0827	-0.1194	20	13	-9.99	4	0	1.459	0.5009316911652847	1.6442160762960423	-0.7289269337509565
64	3	0.2794	-0.0827	0.1306	30	18	-11.53	4	0	1.444	0.5009316911652847	1.6442160762960423	-0.7500095304037719
72	3	0.1294	0.2506	-0.2694	14	15	-20.61	4	0	0.951	0.5009316911652847	1.6442160762960423	-1.3166200328774624
76	3	-0.0206	-0.0827	-0.3194	12	12	-15.69	4	0	0.94	0.5009316911652847	1.6442160762960423	-1.1184012643014358
84	3	-0.0706	-0.416	-0.0194	24	11	-1.38	4	0	0.828	0.5009316911652847	1.6442160762960423	-0.27596891014982683
88	3	-0.1206	-0.0827	-0.3194	12	10	-11.07	4	0	0.885	0.5009316911652847	1.6442160762960423	-0.8692516368931136
94	3	-0.3206	-0.416	-0.2194	16	6	2.16	4	0	1.662	0.5009316911652847	1.6442160762960423	-0.011936621636956968
98	3	0.3794	-0.416	0.3306	38	20	-8.14	4	0	1.325	0.5009316911652847	1.6442160762960423	-0.5941842881133432
102	3	-0.1206	-0.0827	0.0806	28	10	4.93	4	0	1.037	0.5009316911652847	1.6442160762960423	0.04866096157305666
106	3	-0.2706	-0.0827	-0.1194	20	7	3.85	2	1	1.285	0.5009316911652847	1.6442160762960423	0.06327736527826122
110	3	-0.1706	0.2506	0.3306	38	9	17.24	1	1	1.8630000000000002	0.5009316911652847	1.6442160762960423	0.6212924680607266
120	3	-0.0206	-0.0827	0.0306	26	12	-1.69	4	0	1.0859999999999999	0.5009316911652847	1.6442160762960423	-0.2972060485851906
132	3	0.0794	0.2506	-0.3694	10	14	-22.3	4	0	1.135	0.5009316911652847	1.6442160762960423	-1.4990847757880623
136	3	0.0294	0.2506	-0.3194	12	13	-17.99	4	0	1.006	0.5009316911652847	1.6442160762960423	-1.2351792749325101
146	3	0.1294	-0.0827	-0.0194	24	15	-10.61	4	0	1.0070000000000001	0.5009316911652847	1.6442160762960423	-0.735301010504227
150	3	0.1294	-0.416	0.1806	32	15	-2.61	3	0	1.486	0.5009316911652847	1.6442160762960423	-0.3544794898945942
154	3	0.1294	-0.0827	0.2806	36	15	1.39	2	1	2.0780000000000003	0.5009316911652847	1.6442160762960423	-0.1820214160799618
162	3	0.2794	-0.416	0.2806	36	18	-5.53	3	0	2.224	0.5009316911652847	1.6442160762960423	-0.48728144022639786
166	3	0.2794	0.584	-0.3194	12	18	-29.53	4	0	1.9040000000000001	0.5009316911652847	1.6442160762960423	-1.7612489409227559
176	3	-0.1706	-0.416	-0.1194	20	9	-0.76	2	1	1.6219999999999999	0.5009316911652847	1.6442160762960423	-0.22906040497903168
180	3	-0.2206	-0.416	-0.2194	16	8	-2.46	2	1	1.255	0.5009316911652847	1.6442160762960423	-0.32460894689829667
184	3	0.3794	0.584	-0.3194	12	20	-34.14	4	0	1.287	0.5009316911652847	1.6442160762960423	-1.950789502334655
194	3	0.3294	0.2506	-0.0694	22	19	-21.84	4	0	1.6569999999999998	0.5009316911652847	1.6442160762960423	-1.241358388521049
200	3	-0.1706	0.2506	0.2806	36	9	15.24	2	1	1.705	0.5009316911652847	1.6442160762960423	0.5386547545357727
204	3	-0.3206	0.2506	0.0306	26	6	12.16	1	1	2.106	0.5009316911652847	1.6442160762960423	0.5401509600321148
208	3	-0.3706	0.2506	0.1306	30	5	18.46	1	1	1.216	0.5009316911652847	1.6442160762960423	0.9062568087252518
212	3	-0.2706	0.584	0.2806	36	7	19.85	1	1	1.3519999999999999	0.5009316911652847	1.6442160762960423	0.8309925247930656
