onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0824	0.0835	28	17	3.92	2	1	2.021	0.5537157378673937	1.4527289403175667	-0.3228256741588855
4	3	-0.2818	-0.4157	-0.2665	14	7	4.08	1	1	1.43	0.5537157378673937	1.4527289403175667	0.022224051467206518
8	3	0.2682	-0.0824	0.0835	28	18	2.5	2	1	1.703	0.5537157378673937	1.4527289403175667	-0.43495811906134074
14	3	-0.0818	-0.0824	-0.2165	16	11	0.42	3	0	1.19	0.5537157378673937	1.4527289403175667	-0.4190622113192375
18	3	0.3682	-0.4157	0.3835	40	20	11.67	1	1	1.3259999999999998	0.5537157378673937	1.4527289403175667	0.039744764993261406
22	3	0.1682	-0.0824	-0.1665	18	16	-4.67	4	0	1.193	0.5537157378673937	1.4527289403175667	-0.894439143399385
28	3	-0.0818	0.251	0.3335	38	11	22.42	1	1	1.425	0.5537157378673937	1.4527289403175667	1.0070727424044286
32	3	-0.1318	0.251	0.2835	36	10	21.83	1	1	0.9129999999999999	0.5537157378673937	1.4527289403175667	1.0374147668184799
40	3	0.2682	-0.4157	0.3835	40	18	14.5	2	1	1.508	0.5537157378673937	1.4527289403175667	0.2559734949218502
44	3	-0.1318	-0.0824	-0.3665	10	10	-4.17	4	0	1.1909999999999998	0.5537157378673937	1.4527289403175667	-0.8100727057760593
50	3	-0.3318	-0.0824	-0.0165	24	6	15.5	2	1	2.154	0.5537157378673937	1.4527289403175667	0.9464822719980728
56	3	-0.2318	-0.0824	-0.1165	20	8	8.67	2	1	1.258	0.5537157378673937	1.4527289403175667	0.32920220282511803
62	3	-0.0318	0.251	0.3835	40	12	23	2	1	1.138	0.5537157378673937	1.4527289403175667	0.9797734953230153
68	3	-0.1318	-0.4157	-0.0665	22	10	7.83	3	0	1.13	0.5537157378673937	1.4527289403175667	0.16941018152057552
76	3	-0.3318	-0.0824	-0.1665	18	6	9.5	3	0	1.6030000000000002	0.5537157378673937	1.4527289403175667	0.518640527983407
80	3	0.1682	-0.0824	0.3335	38	16	15.33	2	1	1.983	0.5537157378673937	1.4527289403175667	0.3752662791647112
90	3	0.3682	-0.0824	0.1335	30	20	1.67	3	0	1.123	0.5537157378673937	1.4527289403175667	-0.5279623013478587
98	3	0.0682	-0.0824	-0.0665	22	14	2.17	4	0	1.179	0.5537157378673937	1.4527289403175667	-0.36293223500528304
102	3	0.2682	0.251	-0.1665	18	18	-7.5	4	0	1.018	0.5537157378673937	1.4527289403175667	-1.1216888504352007
106	3	0.3182	0.5843	-0.2165	16	19	-10.92	4	0	1.295	0.5537157378673937	1.4527289403175667	-1.3875031360189927
110	3	-0.1318	-0.4157	-0.0165	24	10	9.83	2	1	1.755	0.5537157378673937	1.4527289403175667	0.3060752561723623
116	3	0.3182	0.5843	-0.3165	12	19	-14.92	4	0	0.8340000000000001	0.5537157378673937	1.4527289403175667	-1.7293083273279808
120	3	-0.1818	-0.0824	0.0835	28	9	15.25	2	1	1.168	0.5537157378673937	1.4527289403175667	0.7122729280446087
126	3	-0.1318	-0.0824	0.1335	30	10	15.83	2	1	1.162	0.5537157378673937	1.4527289403175667	0.6881887911736273
130	3	0.1182	-0.0824	-0.1665	18	15	-3.25	4	0	0.9590000000000001	0.5537157378673937	1.4527289403175667	-0.776063108037492
142	3	0.0682	-0.4157	0.1835	32	14	12.17	3	0	1.699	0.5537157378673937	1.4527289403175667	0.275455481757207
146	3	-0.0818	0.251	0.2335	34	11	18.42	2	1	1.392	0.5537157378673937	1.4527289403175667	0.7832480946212286
152	3	0.3182	-0.4157	0.3335	38	19	11.08	2	1	2.171	0.5537157378673937	1.4527289403175667	0.03863181770467339
156	3	-0.1318	-0.0824	-0.2665	14	10	-0.17	4	0	1.2	0.5537157378673937	1.4527289403175667	-0.4436296607235608
160	3	-0.2318	0.5843	0.2335	34	8	22.67	1	1	1.112	0.5537157378673937	1.4527289403175667	1.2262398425051737
164	3	-0.0818	-0.0824	0.1335	30	11	14.42	2	1	1.331	0.5537157378673937	1.4527289403175667	0.5473225988562631
168	3	0.0182	-0.4157	0.1835	32	13	13.58	3	0	1.2790000000000001	0.5537157378673937	1.4527289403175667	0.401364085436295
174	3	-0.0818	-0.4157	-0.1665	18	11	2.42	4	0	1.266	0.5537157378673937	1.4527289403175667	-0.2626326801596677
178	3	-0.2818	0.251	0.1335	30	7	20.08	1	1	0.929	0.5537157378673937	1.4527289403175667	1.1540425033643946
186	3	0.0182	-0.0824	-0.1665	18	13	-0.42	4	0	1.123	0.5537157378673937	1.4527289403175667	-0.5282003006890741
190	3	0.3182	0.5843	-0.2665	14	19	-12.92	4	0	1.0190000000000001	0.5537157378673937	1.4527289403175667	-1.5529367777406802
198	3	-0.0818	-0.0824	-0.3165	12	11	-3.58	4	0	0.828	0.5537157378673937	1.4527289403175667	-0.7608674026282256
202	3	0.0182	0.251	-0.3665	10	13	-8.42	4	0	0.9470000000000001	0.5537157378673937	1.4527289403175667	-1.2165065186228299
206	3	0.1682	-0.0824	-0.0665	22	16	-0.67	3	0	1.2890000000000001	0.5537157378673937	1.4527289403175667	-0.603262474036506
212	3	0.1682	0.251	-0.3165	12	16	-10.67	4	0	0.9	0.5537157378673937	1.4527289403175667	-1.392673865867943
218	3	0.2182	-0.4157	0.3335	38	17	13.92	3	0	1.725	0.5537157378673937	1.4527289403175667	0.26014901703135074
226	3	0.0682	-0.0824	0.3835	40	14	20.17	2	1	1.092	0.5537157378673937	1.4527289403175667	0.7235534409888889
230	3	-0.3818	-0.0824	-0.0665	22	5	14.92	1	1	1.073	0.5537157378673937	1.4527289403175667	0.9979292116587875
234	3	0.1682	0.251	-0.2165	16	16	-6.67	4	0	0.897	0.5537157378673937	1.4527289403175667	-1.0508686745589548
240	3	-0.3818	0.5843	0.2335	34	5	26.92	1	1	0.7879999999999999	0.5537157378673937	1.4527289403175667	1.7526333170768047
250	3	0.3182	0.5843	-0.3665	10	19	-16.92	4	0	0.892	0.5537157378673937	1.4527289403175667	-1.9193798227931786
254	3	0.1682	0.251	-0.2665	14	16	-8.67	4	0	0.758	0.5537157378673937	1.4527289403175667	-1.2163023162806423
258	3	-0.2318	0.251	0.1335	30	8	18.67	1	1	0.89	0.5537157378673937	1.4527289403175667	0.9903143467402082
262	3	0.0682	-0.0824	0.2335	34	14	14.17	2	1	1.141	0.5537157378673937	1.4527289403175667	0.3917718704127342
266	3	0.0682	-0.4157	0.1335	30	14	10.17	2	1	1.347	0.5537157378673937	1.4527289403175667	0.15584637464776874
274	3	0.1182	-0.4157	0.0335	26	15	4.75	2	1	1.1	0.5537157378673937	1.4527289403175667	-0.2165525155828978
282	3	0.3682	0.5843	-0.3665	10	20	-18.33	4	0	0.932	0.5537157378673937	1.4527289403175667	-2.0262237982975453
286	3	-0.2818	0.5843	0.2335	34	7	24.08	1	1	1.033	0.5537157378673937	1.4527289403175667	1.38996799912936
292	3	-0.3818	-0.4157	-0.3665	10	5	2.92	2	1	1.518	0.5537157378673937	1.4527289403175667	0.018446324362152655
296	3	0.3682	0.251	-0.1165	20	20	-8.33	4	0	1.051	0.5537157378673937	1.4527289403175667	-1.189074445262949
300	3	0.3682	-0.0824	0.0835	28	20	-0.33	3	0	1.3230000000000002	0.5537157378673937	1.4527289403175667	-0.6511868489899295
304	3	-0.3818	0.5843	0.2835	36	5	28.92	1	1	0.894	0.5537157378673937	1.4527289403175667	1.8659337969566918
308	3	-0.2818	0.251	0.0335	26	7	16.08	2	1	0.893	0.5537157378673937	1.4527289403175667	0.9035978168030581
316	3	0.2182	-0.0824	0.0335	26	17	1.92	3	0	1.287	0.5537157378673937	1.4527289403175667	-0.4500458130781513
326	3	0.1182	0.251	-0.2165	16	15	-5.25	4	0	1.031	0.5537157378673937	1.4527289403175667	-0.9324926391970618
330	3	-0.1318	-0.0824	0.0335	26	10	11.83	2	1	1.107	0.5537157378673937	1.4527289403175667	0.43774410461229074
338	3	0.1182	-0.0824	0.3335	38	15	16.75	1	1	0.9990000000000001	0.5537157378673937	1.4527289403175667	0.49364231452660423
346	3	-0.0818	-0.0824	0.0335	26	11	10.42	2	1	1.015	0.5537157378673937	1.4527289403175667	0.29687791229492655
356	3	-0.3818	0.251	0.0835	28	5	20.92	2	1	0.903	0.5537157378673937	1.4527289403175667	1.3934832736697684
362	3	0.2682	0.5843	-0.2665	14	18	-11.5	4	0	0.9670000000000001	0.5537157378673937	1.4527289403175667	-1.443552023316458
368	3	-0.0318	-0.4157	-0.0665	22	12	5	2	1	1.023	0.5537157378673937	1.4527289403175667	-0.10671218067115662
372	3	0.1182	-0.0824	0.2335	34	15	12.75	2	1	1.235	0.5537157378673937	1.4527289403175667	0.26981766674340424
376	3	0.0182	-0.0824	0.3335	38	13	19.58	2	1	1.179	0.5537157378673937	1.4527289403175667	0.7415051218750222
380	3	-0.2318	-0.4157	-0.3665	10	8	-1.33	3	0	1.469	0.5537157378673937	1.4527289403175667	-0.5079471502094783
394	3	-0.1818	-0.0824	-0.3165	12	9	-0.75	4	0	1.038	0.5537157378673937	1.4527289403175667	-0.4726925257978092
398	3	-0.0818	0.251	0.2835	36	11	20.42	2	1	1.339	0.5537157378673937	1.4527289403175667	0.8965485745011157
404	3	-0.3818	-0.4157	-0.2665	14	5	6.92	3	0	1.1909999999999998	0.5537157378673937	1.4527289403175667	0.38488936941465113
408	3	-0.0818	-0.4157	-0.0665	22	11	6.42	3	0	1.004	0.5537157378673937	1.4527289403175667	0.02854398920321133
412	3	0.3182	0.251	-0.1665	18	19	-8.92	4	0	1.54	0.5537157378673937	1.4527289403175667	-1.2310736048594229
418	3	-0.2318	-0.0824	-0.0665	22	8	10.67	2	1	1.556	0.5537157378673937	1.4527289403175667	0.47153573708715646
428	3	-0.3318	0.5843	0.3335	38	6	29.5	1	1	0.919	0.5537157378673937	1.4527289403175667	1.7883459505475032
434	3	-0.2318	-0.4157	-0.3165	12	8	0.67	4	0	1.136	0.5537157378673937	1.4527289403175667	-0.3178756547442805
438	3	-0.0818	-0.0824	-0.2665	14	11	-1.58	4	0	0.9329999999999999	0.5537157378673937	1.4527289403175667	-0.584495853040925
442	3	-0.0318	-0.0824	0.1835	32	12	15	2	1	1.3419999999999999	0.5537157378673937	1.4527289403175667	0.5316755360913334
446	3	-0.0818	-0.4157	-0.1165	20	11	4.42	3	0	1.004	0.5537157378673937	1.4527289403175667	-0.1137895450588271
450	3	0.0682	-0.4157	0.0335	26	14	6.17	2	1	1.1440000000000001	0.5537157378673937	1.4527289403175667	-0.09459831191356782
454	3	-0.2318	0.251	0.1835	32	8	20.67	1	1	1.023	0.5537157378673937	1.4527289403175667	1.1099234538496465
466	3	0.2182	-0.4157	0.3835	40	17	15.92	1	1	0.8959999999999999	0.5537157378673937	1.4527289403175667	0.3681059398243054
472	3	0.2182	0.251	-0.1165	20	17	-4.08	4	0	1.112	0.5537157378673937	1.4527289403175667	-0.8607132704319049
476	3	0.3182	0.251	-0.0165	24	19	-2.92	4	0	1.205	0.5537157378673937	1.4527289403175667	-0.8032318608447571
