onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0824	0.0835	28	17	-31.89	4	0	1.274	0.6038566228565565	1.870133888593176	-1.4345902220864652
4	3	-0.2818	-0.4157	-0.2665	14	7	-10.66	3	0	1.371	0.6038566228565565	1.870133888593176	-0.5672867839278579
8	3	0.2682	-0.0824	0.0835	28	18	-35.41	4	0	0.888	0.6038566228565565	1.870133888593176	-1.6163040332753824
14	3	-0.0818	-0.0824	-0.2165	16	11	-22.75	4	0	1.189	0.6038566228565565	1.870133888593176	-1.3108871537844227
18	3	0.3682	-0.4157	0.3835	40	20	-30.46	4	0	2.092	0.6038566228565565	1.870133888593176	-1.0693507956889015
22	3	0.1682	-0.0824	-0.1665	18	16	-38.36	4	0	0.9570000000000001	0.6038566228565565	1.870133888593176	-2.124357935908142
28	3	-0.0818	0.251	0.3335	38	11	-0.75	2	1	2.636	0.6038566228565565	1.870133888593176	0.518829629561119
32	3	-0.1318	0.251	0.2835	36	10	0.77	0	-1	0	0.6038566228565565	1.870133888593176	0.5968753669757976
40	3	0.2682	-0.4157	0.3835	40	18	-23.41	4	0	2.325	0.6038566228565565	1.870133888593176	-0.7175087241752252
44	3	-0.1318	-0.0824	-0.3665	10	10	-25.23	4	0	1.198	0.6038566228565565	1.870133888593176	-1.7474819976448521
50	3	-0.3318	-0.0824	-0.0165	24	6	2.86	1	1	1.541	0.6038566228565565	1.870133888593176	0.6484825322439054
56	3	-0.2318	-0.0824	-0.1165	20	8	-8.18	2	1	1.453	0.6038566228565565	1.870133888593176	-0.23016187189889603
62	3	-0.0318	0.251	0.3835	40	12	-2.27	2	1	2.445	0.6038566228565565	1.870133888593176	0.4456847540772042
68	3	-0.1318	-0.4157	-0.0665	22	10	-13.23	4	0	1.685	0.6038566228565565	1.870133888593176	-0.5228092106673103
76	3	-0.3318	-0.0824	-0.1665	18	6	-3.14	2	1	1.79	0.6038566228565565	1.870133888593176	0.10511992299635242
