onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	-19.46	0	-1	0	0.4981330071999006	1.4629660220018468	-0.5951376307905787
4	3	-0.0227	-0.4147	-0.189	18	12	-13.57	1	1	0.001	0.4981330071999006	1.4629660220018468	-0.41229914462540673
8	3	0.1273	0.2519	-0.389	10	15	-29.46	1	1	2.983	0.4981330071999006	1.4629660220018468	-1.2443779191970556
18	3	0.1773	-0.0814	0.211	34	16	-8.1	0	-1	0	0.4981330071999006	1.4629660220018468	-0.014480967302959336
24	3	-0.3727	-0.0814	-0.189	18	5	4.85	1	1	1.757	0.4981330071999006	1.4629660220018468	0.4791655761129885
28	3	0.0273	-0.4147	0.011	26	13	-8.2	1	1	1.589	0.4981330071999006	1.4629660220018468	-0.0907513083750966
38	3	0.2273	-0.0814	0.161	32	17	-12.73	3	0	2.104	0.4981330071999006	1.4629660220018468	-0.18988567539116996
42	3	-0.3727	-0.4147	-0.239	16	5	2.85	1	1	1.6059999999999999	0.4981330071999006	1.4629660220018468	0.358935632017908
46	3	-0.2727	-0.0814	-0.089	22	7	3.58	1	1	1.2229999999999999	0.4981330071999006	1.4629660220018468	0.40340890438019716
52	3	-0.2227	0.5853	0.261	36	8	14.95	1	1	1.177	0.4981330071999006	1.4629660220018468	0.9190660947988105
56	3	-0.1227	-0.0814	-0.239	16	10	-10.31	3	0	1.921	0.4981330071999006	1.4629660220018468	-0.31355575209314557
62	3	0.0273	-0.4147	0.111	30	13	-4.2	2	1	2.2969999999999997	0.4981330071999006	1.4629660220018468	0.09647779365862874
74	3	0.2273	0.5853	-0.289	14	17	-30.73	4	0	1.729	0.4981330071999006	1.4629660220018468	-1.1384369305822675
78	3	0.3273	-0.0814	0.061	28	19	-21.99	3	0	1.984	0.4981330071999006	1.4629660220018468	-0.5416382079620661
82	3	0.3773	0.5853	-0.289	14	20	-38.62	4	0	2.0380000000000003	0.4981330071999006	1.4629660220018468	-1.3914125741868573
86	3	0.1773	-0.4147	0.011	26	16	-16.1	3	0	2.6010000000000004	0.4981330071999006	1.4629660220018468	-0.3767768114359793
90	3	-0.3727	0.5853	0.361	40	5	26.85	1	1	1.07	0.4981330071999006	1.4629660220018468	1.5098352162921915
94	3	-0.0227	-0.0814	0.061	28	12	-3.57	2	1	1.569	0.4981330071999006	1.4629660220018468	0.10713962055009096
98	3	0.1773	-0.0814	-0.139	20	16	-22.1	3	0	1.785	0.4981330071999006	1.4629660220018468	-0.6872288383049412
102	3	-0.3727	0.2519	0.011	26	5	12.85	1	1	1.294	0.4981330071999006	1.4629660220018468	0.9033102508734547
106	3	0.3773	-0.0814	0.161	32	20	-20.62	3	0	1.577	0.4981330071999006	1.4629660220018468	-0.44286131899575976
110	3	0.2273	0.2519	-0.189	18	17	-26.73	4	0	1.8659999999999999	0.4981330071999006	1.4629660220018468	-0.8901666464468305
116	3	-0.3227	-0.0814	-0.139	20	6	4.21	1	1	1.1059999999999999	0.4981330071999006	1.4629660220018468	0.43782018769500675
120	3	0.2773	0.2519	-0.139	20	18	-27.36	4	0	1.726	0.4981330071999006	1.4629660220018468	-0.8631211613432255
126	3	-0.2727	0.5853	0.361	40	7	21.58	1	1	1.446	0.4981330071999006	1.4629660220018468	1.212269660880318
130	3	-0.3227	0.5853	0.261	36	6	20.21	1	1	1.0070000000000001	0.4981330071999006	1.4629660220018468	1.1942194336991834
134	3	0.3773	0.5853	-0.239	16	20	-36.62	4	0	1.374	0.4981330071999006	1.4629660220018468	-1.2633722341465008
140	3	0.1273	-0.0814	0.361	40	15	0.54	3	0	2.01	0.4981330071999006	1.4629660220018468	0.32183936149712
148	3	-0.3227	-0.4147	-0.389	10	6	-5.79	3	0	2.359	0.4981330071999006	1.4629660220018468	-0.21142010071147022
