onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.2182	-0.0788	0.0835	28	17	-4.96	3	0	1.5	0.596004079209222	1.3868465375417633	-0.10956940648297975
4	3	-0.2818	-0.4121	-0.2665	14	7	0.43	3	0	2.227	0.596004079209222	1.3868465375417633	0.19881106061198262
8	3	0.2682	-0.0788	0.0835	28	18	-6.9	2	1	1.778	0.596004079209222	1.3868465375417633	-0.2396159659692212
14	3	-0.0818	-0.0788	-0.2165	16	11	-5.33	3	0	2.2359999999999998	0.596004079209222	1.3868465375417633	-0.2852214495299994
18	3	0.3682	-0.4121	0.3835	40	20	1.22	2	1	2.5980000000000003	0.596004079209222	1.3868465375417633	0.37168740735113825
22	3	0.1682	-0.0788	-0.1665	18	16	-13.02	4	0	2.971	0.596004079209222	1.3868465375417633	-0.8198464975903201
28	3	-0.0818	0.2545	0.3335	38	11	16.67	2	1	1.347	0.596004079209222	1.3868465375417633	1.4753023814950401
32	3	-0.1318	0.2545	0.2835	36	10	16.61	1	1	2.01	0.596004079209222	1.3868465375417633	1.4965887597866048
40	3	0.2682	-0.4121	0.3835	40	18	5.1	1	1	2.469	0.596004079209222	1.3868465375417633	0.6233277354644837
44	3	-0.1318	-0.0788	-0.3665	10	10	-9.39	4	0	1.275	0.596004079209222	1.3868465375417633	-0.7629793740022457
50	3	-0.3318	-0.0788	-0.0165	24	6	12.37	2	1	1.704	0.596004079209222	1.3868465375417633	1.3060487990876588
56	3	-0.2318	-0.0788	-0.1165	20	8	4.49	1	1	1.074	0.596004079209222	1.3868465375417633	0.5865275276954685
62	3	-0.0318	0.2545	0.3835	40	12	16.73	1	1	1.6059999999999999	0.596004079209222	1.3868465375417633	1.456873331098989
68	3	-0.1318	-0.4121	-0.0665	22	10	2.61	2	1	2.562	0.596004079209222	1.3868465375417633	0.42015175087627865
76	3	-0.3318	-0.0788	-0.1665	18	6	6.37	2	1	1.8259999999999998	0.596004079209222	1.3868465375417633	0.7823960123365858
80	3	0.1682	-0.0788	0.3335	38	16	6.98	2	1	1.8430000000000002	0.596004079209222	1.3868465375417633	0.7508778057009451
90	3	0.3682	-0.0788	0.1335	30	20	-8.78	3	0	2.116	0.596004079209222	1.3868465375417633	-0.33832539369550085
98	3	0.0682	-0.0788	-0.0665	22	14	-5.15	3	0	2.119	0.596004079209222	1.3868465375417633	-0.18724840050943925
102	3	0.2682	0.2545	-0.1665	18	18	-16.9	4	0	1.099	0.596004079209222	1.3868465375417633	-1.083069315454967
106	3	0.3182	0.5879	-0.2165	16	19	-20.84	0	-1	0	0.596004079209222	1.3868465375417633	-1.4000273535307497
110	3	-0.1318	-0.4121	-0.0165	24	10	4.61	3	0	2.6	0.596004079209222	1.3868465375417633	0.5881073184178547
