onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	0.1273	-0.0814	-0.139	20	15	-0.99	2	1	2.401	0.5585072567456014	1.140841026576583	0.0759176379591282
4	3	-0.0227	-0.4147	-0.189	18	12	1.21	2	1	2.399	0.5585072567456014	1.140841026576583	0.22696097091739942
8	3	0.1273	0.2519	-0.389	10	15	-10.99	3	0	0.9209999999999999	0.5585072567456014	1.140841026576583	-0.7793535300157981
18	3	0.1773	-0.0814	0.211	34	16	11.62	2	1	1.099	0.5585072567456014	1.140841026576583	0.9000183609698866
24	3	-0.3727	-0.0814	-0.189	18	5	11	1	1	0.9790000000000001	0.5585072567456014	1.140841026576583	1.1107273040719867
28	3	0.0273	-0.4147	0.011	26	13	7.81	0	-1	0	0.5585072567456014	1.140841026576583	0.6952281841375529
38	3	0.2273	-0.0814	0.161	32	17	8.22	2	1	0.85	0.5585072567456014	1.140841026576583	0.688295602040935
42	3	-0.3727	-0.4147	-0.239	16	5	9	2	1	1.535	0.5585072567456014	1.140841026576583	0.9507883884595334
46	3	-0.2727	-0.0814	-0.089	22	7	12.21	2	1	0.9670000000000001	0.5585072567456014	1.140841026576583	1.1189318227204117
52	3	-0.2227	0.5853	0.261	36	8	24.81	2	1	0.795	0.5585072567456014	1.140841026576583	1.8776609561035102
56	3	-0.1227	-0.0814	-0.239	16	10	2.01	2	1	1.072	0.5585072567456014	1.140841026576583	0.2882645254402365
62	3	0.0273	-0.4147	0.111	30	13	11.81	2	1	0.723	0.5585072567456014	1.140841026576583	0.9519037408495175
74	3	0.2273	0.5853	-0.289	14	17	-9.78	3	0	1.371	0.5585072567456014	1.140841026576583	-0.5927516968969373
78	3	0.3273	-0.0814	0.061	28	19	1.42	2	1	0.88	0.5585072567456014	1.140841026576583	0.2614269870446546
82	3	0.3773	0.5853	-0.289	14	20	-13.98	3	0	1.1440000000000001	0.5585072567456014	1.140841026576583	-0.8565072776207789
86	3	0.1773	-0.4147	0.011	26	16	3.62	2	1	0.8029999999999999	0.5585072567456014	1.140841026576583	0.40139247235142683
90	3	-0.3727	0.5853	0.361	40	5	33	1	1	0.7040000000000001	0.5585072567456014	1.140841026576583	2.522586901256335
94	3	-0.0227	-0.0814	0.061	28	12	11.21	2	1	1.176	0.5585072567456014	1.140841026576583	0.930068285439011
