onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0818	-0.1194	20	5	10.3	0	-1	0	0.596004079209222	1.3868465375417633	1.1715668065962082
4	3	0.2294	0.2515	-0.0694	22	17	-10.96	0	-1	0	0.596004079209222	1.3868465375417633	-0.5973255367592287
8	3	0.1794	0.2515	-0.3694	10	16	-21.02	0	-1	0	0.596004079209222	1.3868465375417633	-1.6472804032593475
12	3	0.2794	-0.4152	0.3306	38	18	3.1	0	-1	0	0.596004079209222	1.3868465375417633	0.4876549878362981
16	3	0.0794	-0.0818	-0.1194	20	14	-7.15	0	-1	0	0.596004079209222	1.3868465375417633	-0.3614977656835596
24	3	0.0294	0.2515	-0.2694	14	13	-11.21	1	1	1.7480000000000002	0.596004079209222	1.3868465375417633	-0.7879785964884194
28	3	-0.2206	0.5848	0.3806	40	8	24.49	1	1	1.841	0.596004079209222	1.3868465375417633	2.1114767245795427
32	3	0.2794	-0.0818	0.1806	32	18	-2.9	2	1	1.371	0.596004079209222	1.3868465375417633	0.06217833294177888
36	3	-0.2206	-0.0818	-0.0194	24	8	8.49	1	1	1.411	0.596004079209222	1.3868465375417633	0.9287324604111649
40	3	0.0794	-0.0818	0.2806	36	14	8.85	2	1	1.4169999999999998	0.596004079209222	1.3868465375417633	0.8891886084008869
44	3	-0.3206	0.2515	0.0806	28	6	16.37	1	1	1.73	0.596004079209222	1.3868465375417633	1.6258493618223318
48	3	0.0794	0.2515	-0.2194	16	14	-11.15	3	0	1.426	0.596004079209222	1.3868465375417633	-0.7327451474527105
56	3	-0.1706	-0.0818	-0.2694	14	9	-3.45	3	0	2.2159999999999997	0.596004079209222	1.3868465375417633	-0.15852605312639545
60	3	0.0294	-0.0818	-0.1194	20	13	-5.21	4	0	1.953	0.596004079209222	1.3868465375417633	-0.21706898074044556
64	3	0.2794	-0.0818	0.1306	30	18	-4.9	4	0	2.73	0.596004079209222	1.3868465375417633	-0.08668506558215539
72	3	0.1294	0.2515	-0.2694	14	15	-15.09	4	0	1.337	0.596004079209222	1.3868465375417633	-1.0727238179038072
76	3	-0.0206	-0.0818	-0.3194	12	12	-11.27	4	0	1.193	0.596004079209222	1.3868465375417633	-0.8505603688443659
84	3	-0.0706	-0.4152	-0.0194	24	11	2.67	0	-1	0	0.596004079209222	1.3868465375417633	0.42823086495484786
88	3	-0.1206	-0.0818	-0.3194	12	10	-7.39	3	0	2.7569999999999997	0.596004079209222	1.3868465375417633	-0.5365821173571224
94	3	-0.3206	-0.4152	-0.2194	16	6	4.37	2	1	1.735	0.596004079209222	1.3868465375417633	0.5925964846028116
98	3	0.3794	-0.4152	0.3306	38	20	-0.78	4	0	1.754	0.596004079209222	1.3868465375417633	0.23601465972295266
102	3	-0.1206	-0.0818	0.0806	28	10	8.61	2	1	2.57	0.596004079209222	1.3868465375417633	0.9079078811525276
106	3	-0.2706	-0.0818	-0.1194	20	7	6.43	1	1	2.066	0.596004079209222	1.3868465375417633	0.7697206763599564
110	3	-0.1706	0.2515	0.3306	38	9	20.55	1	1	1.359	0.596004079209222	1.3868465375417633	1.801660011877467
120	3	-0.0206	-0.0818	0.0306	26	12	2.73	2	1	1.818	0.596004079209222	1.3868465375417633	0.43651668020283996
132	3	0.0794	0.2515	-0.3694	10	14	-17.15	3	0	1.635	0.596004079209222	1.3868465375417633	-1.3703795253879636
136	3	0.0294	0.2515	-0.3194	12	13	-13.21	4	0	2.074	0.596004079209222	1.3868465375417633	-0.9995534837997262
146	3	0.1294	-0.0818	-0.0194	24	15	-5.09	2	1	1.7369999999999999	0.596004079209222	1.3868465375417633	-0.15960926944013698
150	3	0.1294	-0.4152	0.1806	32	15	2.91	1	1	1.3780000000000001	0.596004079209222	1.3868465375417633	0.46198559220553603
154	3	0.1294	-0.0818	0.2806	36	15	6.91	1	1	1.874	0.596004079209222	1.3868465375417633	0.7488721719286131
162	3	0.2794	-0.4152	0.2806	36	18	1.1	2	1	1.24	0.596004079209222	1.3868465375417633	0.34906491266485595
166	3	0.2794	0.5848	-0.3194	12	18	-22.9	4	0	1.29	0.596004079209222	1.3868465375417633	-1.6841059644788712
176	3	-0.1706	-0.4152	-0.1194	20	9	2.55	2	1	1.395	0.596004079209222	1.3868465375417633	0.4123835626215784
180	3	-0.2206	-0.4152	-0.2194	16	8	0.49	1	1	1.796	0.596004079209222	1.3868465375417633	0.2152801459263176
184	3	0.3794	0.5848	-0.3194	12	20	-26.78	0	-1	0	0.596004079209222	1.3868465375417633	-1.9357462925922166
194	3	0.3294	0.2515	-0.0694	22	19	-14.84	4	0	1.736	0.596004079209222	1.3868465375417633	-0.8545306065874785
200	3	-0.1706	0.2515	0.2806	36	9	18.55	1	1	1.75	0.596004079209222	1.3868465375417633	1.6630699367060249
204	3	-0.3206	0.2515	0.0306	26	6	14.37	1	1	1.4969999999999999	0.596004079209222	1.3868465375417633	1.4684364123598876
208	3	-0.3706	0.2515	0.1306	30	5	20.3	1	1	1.068	0.596004079209222	1.3868465375417633	1.9865032024336433
212	3	-0.2706	0.5848	0.2806	36	7	22.43	1	1	0.9179999999999999	0.596004079209222	1.3868465375417633	2.020407050444403
216	3	-0.1206	-0.4152	-0.1694	18	10	-1.39	3	0	2.012	0.596004079209222	1.3868465375417633	0.06445453166678172
220	3	-0.1706	-0.0818	0.1306	30	9	12.55	1	1	1.157	0.596004079209222	1.3868465375417633	1.2273199584590135
226	3	-0.0206	-0.0818	0.1306	30	12	6.73	2	1	2.339	0.596004079209222	1.3868465375417633	0.7468605300523499
236	3	-0.2206	-0.4152	-0.2694	14	8	-1.51	2	1	1.483	0.596004079209222	1.3868465375417633	0.015617911947494623
240	3	0.3294	0.2515	-0.1194	20	19	-16.84	3	0	2.52	0.596004079209222	1.3868465375417633	-1.0287799717615989
244	3	0.0794	-0.4152	0.0806	28	14	0.85	2	1	2.3080000000000003	0.596004079209222	1.3868465375417633	0.30050772976680973
250	3	0.2294	0.5848	-0.2194	16	17	-16.96	4	0	1.453	0.596004079209222	1.3868465375417633	-1.1428222837025
258	3	-0.2206	0.2515	0.0306	26	8	10.49	1	1	1.367	0.596004079209222	1.3868465375417633	1.0911200736833937
262	3	0.2294	0.5848	-0.3694	10	17	-22.96	4	0	1.15	0.596004079209222	1.3868465375417633	-1.780456661637753
274	3	-0.3706	-0.4152	-0.3194	12	5	2.3	1	1	1.2670000000000001	0.596004079209222	1.3868465375417633	0.3890823035369275
282	3	-0.3206	0.5848	0.3806	40	6	28.37	1	1	1.251	0.596004079209222	1.3868465375417633	2.4887930632560367
286	3	0.0294	-0.0818	0.2806	36	13	10.79	2	1	1.415	0.596004079209222	1.3868465375417633	1.033617393344001
294	3	-0.1706	-0.0818	-0.3694	10	9	-7.45	4	0	1.161	0.596004079209222	1.3868465375417633	-0.5964981970828256
298	3	0.2794	-0.4152	0.2306	34	18	-0.9	2	1	1.8090000000000002	0.596004079209222	1.3868465375417633	0.20732715239611554
304	3	0.1294	-0.4152	0.1306	30	15	0.91	2	1	2.522	0.596004079209222	1.3868465375417633	0.31312219368160177
316	3	-0.1706	-0.4152	-0.1694	18	9	0.55	2	1	1.817	0.596004079209222	1.3868465375417633	0.23093570858620183
322	3	0.3794	-0.0818	0.0306	26	20	-12.78	3	0	1.983	0.596004079209222	1.3868465375417633	-0.6486692435450108
326	3	0.3794	-0.4152	0.2806	36	20	-2.78	3	0	2.528	0.596004079209222	1.3868465375417633	0.09742458455151048
330	3	0.1294	-0.0818	-0.0694	22	15	-7.09	0	-1	0	0.596004079209222	1.3868465375417633	-0.327564836981713
334	3	-0.2206	0.5848	0.3306	38	8	22.49	1	1	1.187	0.596004079209222	1.3868465375417633	1.9758039769513571
342	3	0.1794	-0.4152	0.0806	28	16	-3.02	2	1	2.084	0.596004079209222	1.3868465375417633	0.023606851895425773
348	3	-0.0206	0.2515	0.2306	34	12	10.73	1	1	2.29	0.596004079209222	1.3868465375417633	1.0408727480306208
358	3	0.1294	-0.4152	0.0806	28	15	-1.09	2	1	1.7109999999999999	0.596004079209222	1.3868465375417633	0.16019129329453596
364	3	0.2294	0.2515	-0.0194	24	17	-8.96	3	0	2.225	0.596004079209222	1.3868465375417633	-0.4293699692176527
368	3	-0.0706	-0.0818	0.0806	28	11	6.67	2	1	1.761	0.596004079209222	1.3868465375417633	0.7480314276895208
372	3	-0.1706	-0.0818	-0.2194	16	9	-1.45	1	1	1.34	0.596004079209222	1.3868465375417633	0.04113618085242754
378	3	0.0294	-0.0818	-0.0694	22	13	-3.21	2	1	2.923	0.596004079209222	1.3868465375417633	-0.042819615566325187
384	3	-0.0706	0.2515	0.3806	40	11	18.67	1	1	1.2570000000000001	0.596004079209222	1.3868465375417633	1.6109751291232257
390	3	-0.2206	0.2515	0.0806	28	8	12.49	1	1	1.5	0.596004079209222	1.3868465375417633	1.2485330231458378
396	3	0.1794	-0.0818	0.2806	36	16	4.98	2	1	1.181	0.596004079209222	1.3868465375417633	0.6122877305295029
400	3	-0.1206	-0.4152	-0.1194	20	10	0.61	3	0	2.4	0.596004079209222	1.3868465375417633	0.24590238570215828
404	3	0.2794	0.5848	-0.3694	10	18	-24.9	4	0	2.144	0.596004079209222	1.3868465375417633	-1.9105032211239945
408	3	-0.1706	0.2515	0.3806	40	9	22.55	1	1	1.028	0.596004079209222	1.3868465375417633	1.9373327595056526
412	3	-0.2706	0.2515	0.1806	32	7	18.43	1	1	1.72	0.596004079209222	1.3868465375417633	1.7335204707213259
422	3	0.1794	-0.0818	0.3806	40	16	8.98	2	1	1.7930000000000001	0.596004079209222	1.3868465375417633	0.8865505533291307
426	3	0.2294	-0.0818	0.1306	30	17	-2.96	3	0	1.504	0.596004079209222	1.3868465375417633	0.04336149390408606
432	3	-0.3706	-0.0818	-0.0194	24	5	14.3	1	1	1.004	0.596004079209222	1.3868465375417633	1.5137717393119046
436	3	-0.2706	-0.4152	-0.2194	16	7	2.43	1	1	1.296	0.596004079209222	1.3868465375417633	0.3984732945908056
440	3	0.2794	0.2515	-0.0694	22	18	-12.9	4	0	1.724	0.596004079209222	1.3868465375417633	-0.7273720962454702
444	3	0.3294	-0.0818	0.0306	26	19	-10.84	4	0	2.033	0.596004079209222	1.3868465375417633	-0.5241874257736736
448	3	0.3794	0.2515	-0.0194	24	20	-14.78	0	-1	0	0.596004079209222	1.3868465375417633	-0.8110568568172396
452	3	-0.3206	0.5848	0.2306	34	6	22.37	1	1	1.371	0.596004079209222	1.3868465375417633	2.0727924801876685
460	3	0.1794	-0.0818	-0.0194	24	16	-7.02	3	0	1.778	0.596004079209222	1.3868465375417633	-0.29619371083924717
468	3	-0.3206	-0.0818	-0.0694	22	6	10.37	1	1	1.742	0.596004079209222	1.3868465375417633	1.1380932315460828
474	3	-0.2706	-0.4152	-0.3194	12	7	-1.57	2	1	1.6119999999999999	0.596004079209222	1.3868465375417633	-0.012763826699324188
